(T) | Epoch=015, loss=8.0083, con=7.2547, intent=2.6236, rec=0.0131, ilssc=5.1387, il_q=8, il_seed=0.923, il_sim=0.399, il_conn=0.003, il_uniq=8.0, il_neg=0.336, this epoch 0.6827, total 13.0518
(T) | Epoch=016, loss=8.0670, con=7.3072, intent=2.6084, rec=0.0154, ilssc=5.1601, il_q=8, il_seed=0.931, il_sim=0.363, il_conn=0.004, il_uniq=8.0, il_neg=0.308, this epoch 0.6877, total 13.7394
(T) | Epoch=017, loss=7.9849, con=7.2286, intent=2.5896, rec=0.0143, ilssc=5.1126, il_q=8, il_seed=0.936, il_sim=0.400, il_conn=0.003, il_uniq=8.0, il_neg=0.331, this epoch 0.6820, total 14.4214
(T) | Epoch=018, loss=8.0188, con=7.2557, intent=2.5780, rec=0.0138, ilssc=5.1755, il_q=8, il_seed=0.938, il_sim=0.386, il_conn=0.004, il_uniq=8.0, il_neg=0.335, this epoch 0.6851, total 15.1065
(T) | Epoch=019, loss=8.0029, con=7.2438, intent=2.5677, rec=0.0138, ilssc=5.1365, il_q=8, il_seed=0.944, il_sim=0.399, il_conn=0.012, il_uniq=8.0, il_neg=0.327, this epoch 0.6802, total 15.7867
(T) | Epoch=020, loss=7.9780, con=7.2125, intent=2.5588, rec=0.0128, ilssc=5.2051, il_q=8, il_seed=0.944, il_sim=0.355, il_conn=0.021, il_uniq=8.0, il_neg=0.319, this epoch 0.6800, total 16.4667  alpha=[pap:0.620, psp:0.380]
(T) | Epoch=021, loss=7.9525, con=7.1977, intent=2.5491, rec=0.0128, ilssc=5.1050, il_q=8, il_seed=0.950, il_sim=0.386, il_conn=0.016, il_uniq=8.0, il_neg=0.308, this epoch 0.7269, total 17.1936
(T) | Epoch=022, loss=7.9694, con=7.2133, intent=2.5360, rec=0.0120, ilssc=5.1327, il_q=8, il_seed=0.952, il_sim=0.416, il_conn=0.003, il_uniq=8.0, il_neg=0.356, this epoch 0.6821, total 17.8758
(T) | Epoch=023, loss=7.9362, con=7.1760, intent=2.5243, rec=0.0109, ilssc=5.1889, il_q=8, il_seed=0.956, il_sim=0.366, il_conn=0.010, il_uniq=8.0, il_neg=0.329, this epoch 0.6956, total 18.5713
(T) | Epoch=024, loss=7.9203, con=7.1739, intent=2.5178, rec=0.0105, ilssc=5.0591, il_q=8, il_seed=0.960, il_sim=0.479, il_conn=0.001, il_uniq=8.0, il_neg=0.374, this epoch 0.6849, total 19.2562
(T) | Epoch=025, loss=7.9614, con=7.2052, intent=2.5137, rec=0.0151, ilssc=5.1549, il_q=8, il_seed=0.961, il_sim=0.440, il_conn=0.003, il_uniq=8.0, il_neg=0.377, this epoch 0.6768, total 19.9331
(T) | Epoch=026, loss=7.9669, con=7.2214, intent=2.5066, rec=0.0143, ilssc=5.0548, il_q=8, il_seed=0.964, il_sim=0.512, il_conn=0.004, il_uniq=8.0, il_neg=0.389, this epoch 0.6763, total 20.6094
(T) | Epoch=027, loss=7.9957, con=7.2414, intent=2.4975, rec=0.0150, ilssc=5.1511, il_q=8, il_seed=0.967, il_sim=0.464, il_conn=0.005, il_uniq=8.0, il_neg=0.388, this epoch 0.6827, total 21.2921
(T) | Epoch=028, loss=7.9806, con=7.2300, intent=2.4890, rec=0.0115, ilssc=5.1238, il_q=8, il_seed=0.971, il_sim=0.467, il_conn=0.006, il_uniq=8.0, il_neg=0.386, this epoch 0.6792, total 21.9713
(T) | Epoch=029, loss=7.8783, con=7.1249, intent=2.4840, rec=0.0112, ilssc=5.1528, il_q=8, il_seed=0.972, il_sim=0.423, il_conn=0.002, il_uniq=8.0, il_neg=0.361, this epoch 0.6851, total 22.6564
(T) | Epoch=030, loss=7.8417, con=7.0888, intent=2.4806, rec=0.0107, ilssc=5.1475, il_q=8, il_seed=0.973, il_sim=0.441, il_conn=0.008, il_uniq=8.0, il_neg=0.367, this epoch 0.6928, total 23.3492  alpha=[pap:0.640, psp:0.360]
(T) | Epoch=031, loss=7.9656, con=7.2072, intent=2.4785, rec=0.0119, ilssc=5.1990, il_q=8, il_seed=0.973, il_sim=0.397, il_conn=0.004, il_uniq=8.0, il_neg=0.357, this epoch 0.6908, total 24.0400
(T) | Epoch=032, loss=7.9570, con=7.2067, intent=2.4759, rec=0.0131, ilssc=5.1145, il_q=8, il_seed=0.973, il_sim=0.443, il_conn=0.004, il_uniq=8.0, il_neg=0.358, this epoch 0.6840, total 24.7240
(T) | Epoch=033, loss=7.8898, con=7.1445, intent=2.4726, rec=0.0107, ilssc=5.0672, il_q=8, il_seed=0.977, il_sim=0.435, il_conn=0.003, il_uniq=8.0, il_neg=0.336, this epoch 0.6766, total 25.4005
(T) | Epoch=034, loss=7.9492, con=7.2007, intent=2.4704, rec=0.0113, ilssc=5.1063, il_q=8, il_seed=0.976, il_sim=0.395, il_conn=0.002, il_uniq=8.0, il_neg=0.309, this epoch 0.6838, total 26.0843
(T) | Epoch=035, loss=8.0074, con=7.2679, intent=2.4678, rec=0.0094, ilssc=5.0305, il_q=8, il_seed=0.977, il_sim=0.471, il_conn=0.009, il_uniq=8.0, il_neg=0.361, this epoch 0.6767, total 26.7610
(T) | Epoch=036, loss=8.0143, con=7.2659, intent=2.4653, rec=0.0082, ilssc=5.1271, il_q=8, il_seed=0.978, il_sim=0.453, il_conn=0.026, il_uniq=7.2, il_neg=0.366, this epoch 0.6789, total 27.4400
(T) | Epoch=037, loss=7.9653, con=7.2200, intent=2.4618, rec=0.0086, ilssc=5.0960, il_q=8, il_seed=0.978, il_sim=0.423, il_conn=0.022, il_uniq=8.0, il_neg=0.329, this epoch 0.6750, total 28.1150
(T) | Epoch=038, loss=7.9766, con=7.2233, intent=2.4588, rec=0.0073, ilssc=5.1799, il_q=8, il_seed=0.979, il_sim=0.385, il_conn=0.009, il_uniq=8.0, il_neg=0.332, this epoch 0.6841, total 28.7991
