(T) | Epoch=012, loss=7.7322, con=6.9679, intent=2.6080, rec=0.0014, ilssc=5.4593, il_lam=0.1000, il_q=8, il_seed=0.922, il_sim=0.298, il_conn=0.080, il_dist=0.000, il_high=0.362, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.381, il_neg_dist=0.000, il_neg_high=0.004, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6241, total 8.1320
(T) | Epoch=013, loss=7.6903, con=6.9418, intent=2.6009, rec=0.0015, ilssc=5.2433, il_lam=0.1000, il_q=8, il_seed=0.932, il_sim=0.400, il_conn=0.040, il_dist=0.000, il_high=0.432, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.394, il_neg_dist=0.000, il_neg_high=0.006, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6392, total 8.7713
(T) | Epoch=014, loss=7.6965, con=6.9442, intent=2.5816, rec=0.0019, ilssc=5.2198, il_lam=0.1000, il_q=8, il_seed=0.937, il_sim=0.422, il_conn=0.040, il_dist=0.000, il_high=0.376, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.427, il_neg_dist=0.000, il_neg_high=0.008, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6320, total 9.4033
(T) | Epoch=015, loss=7.7323, con=6.9719, intent=2.5720, rec=0.0018, ilssc=5.2533, il_lam=0.1000, il_q=8, il_seed=0.940, il_sim=0.348, il_conn=0.046, il_dist=0.000, il_high=0.419, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.387, il_neg_dist=0.000, il_neg_high=0.006, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6317, total 10.0350
(T) | Epoch=016, loss=7.7222, con=6.9571, intent=2.5628, rec=0.0017, ilssc=5.2667, il_lam=0.1000, il_q=8, il_seed=0.944, il_sim=0.389, il_conn=0.045, il_dist=0.000, il_high=0.404, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.402, il_neg_dist=0.000, il_neg_high=0.008, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6315, total 10.6664
(T) | Epoch=017, loss=7.6788, con=6.9220, intent=2.5496, rec=0.0016, ilssc=5.1600, il_lam=0.1000, il_q=8, il_seed=0.944, il_sim=0.351, il_conn=0.051, il_dist=0.000, il_high=0.363, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.369, il_neg_dist=0.000, il_neg_high=0.007, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6330, total 11.2995
(T) | Epoch=018, loss=7.6844, con=6.9192, intent=2.5260, rec=0.0019, ilssc=5.2491, il_lam=0.1000, il_q=8, il_seed=0.952, il_sim=0.364, il_conn=0.029, il_dist=0.000, il_high=0.470, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.354, il_neg_dist=0.000, il_neg_high=0.007, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6325, total 11.9319
(T) | Epoch=019, loss=7.6802, con=6.9280, intent=2.5176, rec=0.0018, ilssc=5.1196, il_lam=0.1000, il_q=7, il_seed=0.957, il_sim=0.339, il_conn=0.037, il_dist=0.000, il_high=0.414, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.352, il_neg_dist=0.000, il_neg_high=0.007, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6274, total 12.5594
(T) | Epoch=020, loss=7.6850, con=6.9240, intent=2.5112, rec=0.0019, ilssc=5.2098, il_lam=0.1000, il_q=8, il_seed=0.956, il_sim=0.332, il_conn=0.024, il_dist=0.000, il_high=0.476, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.345, il_neg_dist=0.000, il_neg_high=0.008, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6395, total 13.1988  alpha=[mam:0.580, mdm:0.420]
(T) | Epoch=021, loss=7.7014, con=6.9419, intent=2.5225, rec=0.0019, ilssc=5.1821, il_lam=0.1000, il_q=8, il_seed=0.956, il_sim=0.333, il_conn=0.045, il_dist=0.000, il_high=0.428, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.346, il_neg_dist=0.000, il_neg_high=0.006, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6676, total 13.8664
(T) | Epoch=022, loss=7.7204, con=6.9415, intent=2.5124, rec=0.0019, ilssc=5.3875, il_lam=0.1000, il_q=8, il_seed=0.958, il_sim=0.270, il_conn=0.068, il_dist=0.000, il_high=0.297, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.346, il_neg_dist=0.000, il_neg_high=0.003, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6369, total 14.5033
(T) | Epoch=023, loss=7.6775, con=6.9070, intent=2.5024, rec=0.0026, ilssc=5.3115, il_lam=0.1000, il_q=8, il_seed=0.960, il_sim=0.280, il_conn=0.051, il_dist=0.000, il_high=0.376, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.302, il_neg_dist=0.000, il_neg_high=0.005, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6407, total 15.1440
(T) | Epoch=024, loss=7.6637, con=6.9045, intent=2.5047, rec=0.0022, ilssc=5.1971, il_lam=0.1000, il_q=8, il_seed=0.959, il_sim=0.299, il_conn=0.047, il_dist=0.000, il_high=0.461, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.320, il_neg_dist=0.000, il_neg_high=0.006, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 0.6498, total 15.7939
