(T) | Epoch=033, loss=6.8552, con=6.6253, intent=2.4462, rec=0.0001, this epoch 0.9273, total 31.1345
(T) | Epoch=034, loss=6.8473, con=6.6169, intent=2.4531, rec=0.0001, this epoch 0.9255, total 32.0600
(T) | Epoch=035, loss=6.8393, con=6.6101, intent=2.4422, rec=0.0001, this epoch 0.9232, total 32.9832
(T) | Epoch=036, loss=6.8367, con=6.6076, intent=2.4421, rec=0.0001, this epoch 0.9261, total 33.9094
(T) | Epoch=037, loss=6.8368, con=6.6083, intent=2.4366, rec=0.0001, this epoch 0.9255, total 34.8349
(T) | Epoch=038, loss=6.8363, con=6.6081, intent=2.4350, rec=0.0001, this epoch 0.9236, total 35.7585
(T) | Epoch=039, loss=6.8334, con=6.6054, intent=2.4335, rec=0.0001, this epoch 0.9220, total 36.6805
(T) | Epoch=040, loss=6.8307, con=6.6030, intent=2.4319, rec=0.0001, this epoch 0.9229, total 37.6033  alpha=[apa:0.073, apcpa:0.487, aptpa:0.440]
(T) | Epoch=041, loss=6.8303, con=6.6028, intent=2.4309, rec=0.0001, this epoch 0.9909, total 38.5943
(T) | Epoch=042, loss=6.8310, con=6.6038, intent=2.4294, rec=0.0001, this epoch 0.9234, total 39.5177
(T) | Epoch=043, loss=6.8307, con=6.6037, intent=2.4278, rec=0.0001, this epoch 0.9231, total 40.4408
(T) | Epoch=044, loss=6.8307, con=6.6041, intent=2.4252, rec=0.0001, this epoch 0.9248, total 41.3656
(T) | Epoch=045, loss=6.8326, con=6.6061, intent=2.4248, rec=0.0001, this epoch 0.9221, total 42.2877
(T) | Epoch=046, loss=6.8331, con=6.6069, intent=2.4223, rec=0.0001, this epoch 0.9207, total 43.2084
(T) | Epoch=047, loss=6.8300, con=6.6043, intent=2.4186, rec=0.0001, this epoch 0.9235, total 44.1319
(T) | Epoch=048, loss=6.8254, con=6.6000, intent=2.4175, rec=0.0001, this epoch 0.9238, total 45.0557
(T) | Epoch=049, loss=6.8235, con=6.5985, intent=2.4142, rec=0.0001, this epoch 0.9237, total 45.9794
(T) | Epoch=050, loss=6.8259, con=6.6009, intent=2.4157, rec=0.0001, this epoch 0.9247, total 46.9041  alpha=[apa:0.093, apcpa:0.486, aptpa:0.421]
(T) | Epoch=051, loss=6.8280, con=6.6035, intent=2.4108, rec=0.0001, this epoch 0.9231, total 47.8272
(T) | Epoch=052, loss=6.8272, con=6.6029, intent=2.4086, rec=0.0001, this epoch 0.9273, total 48.7545
(T) | Epoch=053, loss=6.8253, con=6.6005, intent=2.4135, rec=0.0001, this epoch 0.9228, total 49.6772
(T) | Epoch=054, loss=6.8233, con=6.5992, intent=2.4065, rec=0.0001, this epoch 0.9269, total 50.6042
(T) | Epoch=055, loss=6.8230, con=6.5987, intent=2.4068, rec=0.0001, this epoch 0.9233, total 51.5274
(T) | Epoch=056, loss=6.8212, con=6.5971, intent=2.4048, rec=0.0001, this epoch 0.9233, total 52.4507
(T) | Epoch=057, loss=6.8183, con=6.5943, intent=2.4033, rec=0.0001, this epoch 0.9287, total 53.3795
(T) | Epoch=058, loss=6.8164, con=6.5923, intent=2.4038, rec=0.0001, this epoch 0.9279, total 54.3074
(T) | Epoch=059, loss=6.8171, con=6.5933, intent=2.4016, rec=0.0001, this epoch 0.9286, total 55.2360
(T) | Epoch=060, loss=6.8196, con=6.5959, intent=2.4000, rec=0.0001, this epoch 0.9238, total 56.1598  alpha=[apa:0.089, apcpa:0.495, aptpa:0.416]
(T) | Epoch=061, loss=6.8209, con=6.5973, intent=2.3994, rec=0.0001, this epoch 0.9942, total 57.1540
(T) | Epoch=062, loss=6.8186, con=6.5953, intent=2.3980, rec=0.0001, this epoch 0.9269, total 58.0809
(T) | Epoch=063, loss=6.8135, con=6.5904, intent=2.3947, rec=0.0001, this epoch 0.9274, total 59.0083
(T) | Epoch=064, loss=6.8083, con=6.5854, intent=2.3928, rec=0.0001, this epoch 0.9296, total 59.9379
(T) | Epoch=065, loss=6.8059, con=6.5828, intent=2.3937, rec=0.0001, this epoch 0.9259, total 60.8638
(T) | Epoch=066, loss=6.8072, con=6.5841, intent=2.3924, rec=0.0001, this epoch 0.9270, total 61.7908
(T) | Epoch=067, loss=6.8109, con=6.5880, intent=2.3907, rec=0.0001, this epoch 0.9289, total 62.7197
(T) | Epoch=068, loss=6.8133, con=6.5908, intent=2.3863, rec=0.0001, this epoch 0.9314, total 63.6511
(T) | Epoch=069, loss=6.8122, con=6.5898, intent=2.3863, rec=0.0001, this epoch 0.9304, total 64.5815
(T) | Epoch=070, loss=6.8073, con=6.5850, intent=2.3845, rec=0.0001, this epoch 0.9357, total 65.5171  alpha=[apa:0.084, apcpa:0.505, aptpa:0.411]
(T) | Epoch=071, loss=6.8028, con=6.5807, intent=2.3829, rec=0.0001, this epoch 0.9343, total 66.4515
(T) | Epoch=072, loss=6.8018, con=6.5800, intent=2.3816, rec=0.0001, this epoch 0.9338, total 67.3853
(T) | Epoch=073, loss=6.8041, con=6.5823, intent=2.3818, rec=0.0001, this epoch 0.9304, total 68.3157
(T) | Epoch=074, loss=6.8061, con=6.5845, intent=2.3802, rec=0.0001, this epoch 0.9311, total 69.2468
(T) | Epoch=075, loss=6.8061, con=6.5847, intent=2.3790, rec=0.0001, this epoch 0.9319, total 70.1787
(T) | Epoch=076, loss=6.8043, con=6.5829, intent=2.3785, rec=0.0001, this epoch 0.9339, total 71.1126
