(T) | Epoch=035, loss=7.3341, con=7.0938, intent=2.4591, rec=0.0142, this epoch 0.6312, total 22.6936
(T) | Epoch=036, loss=7.3485, con=7.1041, intent=2.4528, rec=0.0161, this epoch 0.6372, total 23.3308
(T) | Epoch=037, loss=7.3311, con=7.0840, intent=2.4548, rec=0.0135, this epoch 0.6306, total 23.9614
(T) | Epoch=038, loss=7.3207, con=7.0717, intent=2.4537, rec=0.0165, this epoch 0.6311, total 24.5925
(T) | Epoch=039, loss=7.3015, con=7.0522, intent=2.4480, rec=0.0168, this epoch 0.6356, total 25.2280
(T) | Epoch=040, loss=7.2867, con=7.0370, intent=2.4491, rec=0.0152, this epoch 0.6309, total 25.8589  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=041, loss=7.3132, con=7.0630, intent=2.4465, rec=0.0177, this epoch 0.6723, total 26.5312
(T) | Epoch=042, loss=7.3428, con=7.0934, intent=2.4474, rec=0.0136, this epoch 0.6334, total 27.1645
(T) | Epoch=043, loss=7.3337, con=7.0840, intent=2.4414, rec=0.0143, this epoch 0.6314, total 27.7959
(T) | Epoch=044, loss=7.3144, con=7.0658, intent=2.4415, rec=0.0149, this epoch 0.6302, total 28.4262
(T) | Epoch=045, loss=7.3268, con=7.0785, intent=2.4394, rec=0.0153, this epoch 0.6310, total 29.0572
(T) | Epoch=046, loss=7.3249, con=7.0765, intent=2.4397, rec=0.0167, this epoch 0.6321, total 29.6892
(T) | Epoch=047, loss=7.2817, con=7.0331, intent=2.4432, rec=0.0151, this epoch 0.6282, total 30.3174
(T) | Epoch=048, loss=7.2526, con=7.0049, intent=2.4330, rec=0.0153, this epoch 0.6293, total 30.9467
(T) | Epoch=049, loss=7.2792, con=7.0307, intent=2.4349, rec=0.0145, this epoch 0.6297, total 31.5764
(T) | Epoch=050, loss=7.3237, con=7.0760, intent=2.4304, rec=0.0146, this epoch 0.6277, total 32.2041  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=051, loss=7.3382, con=7.0902, intent=2.4292, rec=0.0166, this epoch 0.6262, total 32.8302
(T) | Epoch=052, loss=7.3249, con=7.0770, intent=2.4288, rec=0.0184, this epoch 0.6327, total 33.4630
(T) | Epoch=053, loss=7.3051, con=7.0577, intent=2.4271, rec=0.0143, this epoch 0.6310, total 34.0940
(T) | Epoch=054, loss=7.2844, con=7.0375, intent=2.4209, rec=0.0148, this epoch 0.6292, total 34.7232
(T) | Epoch=055, loss=7.2651, con=7.0182, intent=2.4204, rec=0.0142, this epoch 0.6365, total 35.3597
(T) | Epoch=056, loss=7.2602, con=7.0134, intent=2.4204, rec=0.0143, this epoch 0.6284, total 35.9881
(T) | Epoch=057, loss=7.2705, con=7.0239, intent=2.4193, rec=0.0127, this epoch 0.6325, total 36.6206
(T) | Epoch=058, loss=7.2843, con=7.0379, intent=2.4181, rec=0.0134, this epoch 0.6341, total 37.2547
(T) | Epoch=059, loss=7.2977, con=7.0515, intent=2.4182, rec=0.0127, this epoch 0.6269, total 37.8816
(T) | Epoch=060, loss=7.3032, con=7.0568, intent=2.4149, rec=0.0141, this epoch 0.6302, total 38.5118  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=061, loss=7.3048, con=7.0595, intent=2.4114, rec=0.0119, this epoch 0.6739, total 39.1858
(T) | Epoch=062, loss=7.3468, con=7.1012, intent=2.4134, rec=0.0137, this epoch 0.6314, total 39.8172
(T) | Epoch=063, loss=7.3961, con=7.1510, intent=2.4089, rec=0.0132, this epoch 0.6314, total 40.4486
(T) | Epoch=064, loss=7.3790, con=7.1338, intent=2.4063, rec=0.0132, this epoch 0.6329, total 41.0815
(T) | Epoch=065, loss=7.3176, con=7.0720, intent=2.4092, rec=0.0147, this epoch 0.6308, total 41.7122
(T) | Epoch=066, loss=7.2937, con=7.0486, intent=2.4077, rec=0.0147, this epoch 0.6289, total 42.3411
(T) | Epoch=067, loss=7.3148, con=7.0702, intent=2.4052, rec=0.0127, this epoch 0.6308, total 42.9719
(T) | Epoch=068, loss=7.3220, con=7.0769, intent=2.4023, rec=0.0138, this epoch 0.6308, total 43.6027
(T) | Epoch=069, loss=7.3146, con=7.0693, intent=2.4039, rec=0.0155, this epoch 0.6305, total 44.2332
(T) | Epoch=070, loss=7.3105, con=7.0657, intent=2.4003, rec=0.0142, this epoch 0.6304, total 44.8636  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=071, loss=7.2964, con=7.0507, intent=2.4044, rec=0.0168, this epoch 0.6318, total 45.4955
(T) | Epoch=072, loss=7.2757, con=7.0304, intent=2.4024, rec=0.0172, this epoch 0.6303, total 46.1258
(T) | Epoch=073, loss=7.2905, con=7.0458, intent=2.3998, rec=0.0174, this epoch 0.6294, total 46.7552
(T) | Epoch=074, loss=7.3304, con=7.0865, intent=2.3960, rec=0.0154, this epoch 0.6315, total 47.3866
(T) | Epoch=075, loss=7.3312, con=7.0873, intent=2.3943, rec=0.0148, this epoch 0.6302, total 48.0168
(T) | Epoch=076, loss=7.2911, con=7.0475, intent=2.3934, rec=0.0142, this epoch 0.6282, total 48.6450
(T) | Epoch=077, loss=7.2724, con=7.0292, intent=2.3906, rec=0.0137, this epoch 0.6302, total 49.2753
(T) | Epoch=078, loss=7.3074, con=7.0644, intent=2.3874, rec=0.0147, this epoch 0.6283, total 49.9036
(T) | Epoch=079, loss=7.3605, con=7.1172, intent=2.3896, rec=0.0159, this epoch 0.6294, total 50.5330
(T) | Epoch=080, loss=7.3877, con=7.1446, intent=2.3851, rec=0.0165, this epoch 0.6293, total 51.1623  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=081, loss=7.3715, con=7.1290, intent=2.3834, rec=0.0151, this epoch 0.6704, total 51.8327
(T) | Epoch=082, loss=7.3229, con=7.0804, intent=2.3809, rec=0.0167, this epoch 0.6288, total 52.4615
(T) | Epoch=083, loss=7.2783, con=7.0358, intent=2.3815, rec=0.0147, this epoch 0.6288, total 53.0903
(T) | Epoch=084, loss=7.2706, con=7.0286, intent=2.3826, rec=0.0140, this epoch 0.6288, total 53.7191
(T) | Epoch=085, loss=7.2847, con=7.0431, intent=2.3817, rec=0.0147, this epoch 0.6304, total 54.3495
(T) | Epoch=086, loss=7.2860, con=7.0443, intent=2.3833, rec=0.0139, this epoch 0.6305, total 54.9800
(T) | Epoch=087, loss=7.2832, con=7.0410, intent=2.3864, rec=0.0150, this epoch 0.6275, total 55.6074
(T) | Epoch=088, loss=7.3065, con=7.0644, intent=2.3824, rec=0.0150, this epoch 0.6282, total 56.2356
(T) | Epoch=089, loss=7.3349, con=7.0931, intent=2.3779, rec=0.0169, this epoch 0.6257, total 56.8613
(T) | Epoch=090, loss=7.3344, con=7.0923, intent=2.3795, rec=0.0169, this epoch 0.6295, total 57.4907  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=091, loss=7.3147, con=7.0727, intent=2.3759, rec=0.0156, this epoch 0.6298, total 58.1206
(T) | Epoch=092, loss=7.3024, con=7.0611, intent=2.3717, rec=0.0158, this epoch 0.6287, total 58.7493
(T) | Epoch=093, loss=7.3184, con=7.0772, intent=2.3707, rec=0.0140, this epoch 0.6333, total 59.3826
(T) | Epoch=094, loss=7.3538, con=7.1124, intent=2.3719, rec=0.0147, this epoch 0.6274, total 60.0100
(T) | Epoch=095, loss=7.3724, con=7.1316, intent=2.3692, rec=0.0140, this epoch 0.6270, total 60.6370
(T) | Epoch=096, loss=7.3559, con=7.1152, intent=2.3700, rec=0.0138, this epoch 0.6276, total 61.2646
(T) | Epoch=097, loss=7.3279, con=7.0872, intent=2.3722, rec=0.0115, this epoch 0.6251, total 61.8896
(T) | Epoch=098, loss=7.3274, con=7.0871, intent=2.3679, rec=0.0134, this epoch 0.6280, total 62.5176
(T) | Epoch=099, loss=7.3510, con=7.1108, intent=2.3663, rec=0.0145, this epoch 0.6293, total 63.1470
(T) | Epoch=100, loss=7.3517, con=7.1117, intent=2.3643, rec=0.0150, this epoch 0.6295, total 63.7765  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=101, loss=7.3203, con=7.0808, intent=2.3616, rec=0.0133, this epoch 0.6686, total 64.4451
(T) | Epoch=102, loss=7.3154, con=7.0762, intent=2.3609, rec=0.0115, this epoch 0.6277, total 65.0727
(T) | Epoch=103, loss=7.3547, con=7.1157, intent=2.3593, rec=0.0115, this epoch 0.6298, total 65.7026
(T) | Epoch=104, loss=7.3654, con=7.1262, intent=2.3597, rec=0.0114, this epoch 0.6323, total 66.3349
(T) | Epoch=105, loss=7.3212, con=7.0816, intent=2.3638, rec=0.0108, this epoch 0.6272, total 66.9621
(T) | Epoch=106, loss=7.2867, con=7.0474, intent=2.3594, rec=0.0105, this epoch 0.6260, total 67.5881
(T) | Epoch=107, loss=7.3308, con=7.0914, intent=2.3586, rec=0.0121, this epoch 0.6301, total 68.2182
(T) | Epoch=108, loss=7.4021, con=7.1624, intent=2.3594, rec=0.0152, this epoch 0.6318, total 68.8500
(T) | Epoch=109, loss=7.4142, con=7.1750, intent=2.3569, rec=0.0140, this epoch 0.6279, total 69.4779
(T) | Epoch=110, loss=7.3612, con=7.1221, intent=2.3547, rec=0.0148, this epoch 0.6314, total 70.1093  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=111, loss=7.3096, con=7.0707, intent=2.3531, rec=0.0139, this epoch 0.6299, total 70.7392
(T) | Epoch=112, loss=7.3124, con=7.0738, intent=2.3537, rec=0.0138, this epoch 0.6283, total 71.3675
(T) | Epoch=113, loss=7.3488, con=7.1105, intent=2.3518, rec=0.0143, this epoch 0.6338, total 72.0013
(T) | Epoch=114, loss=7.3710, con=7.1328, intent=2.3523, rec=0.0138, this epoch 0.6452, total 72.6465
(T) | Epoch=115, loss=7.3685, con=7.1305, intent=2.3506, rec=0.0140, this epoch 0.6303, total 73.2768
(T) | Epoch=116, loss=7.3700, con=7.1320, intent=2.3503, rec=0.0131, this epoch 0.6298, total 73.9066
(T) | Epoch=117, loss=7.4054, con=7.1675, intent=2.3486, rec=0.0118, this epoch 0.6350, total 74.5416
(T) | Epoch=118, loss=7.4500, con=7.2112, intent=2.3516, rec=0.0137, this epoch 0.6293, total 75.1709
(T) | Epoch=119, loss=7.4481, con=7.2098, intent=2.3475, rec=0.0145, this epoch 0.6320, total 75.8029
(T) | Epoch=120, loss=7.3925, con=7.1547, intent=2.3447, rec=0.0150, this epoch 0.6349, total 76.4377  alpha=[mam:0.000, mdm:1.000]
(T) | Epoch=121, loss=7.3423, con=7.1054, intent=2.3415, rec=0.0126, this epoch 0.6720, total 77.1097
