(T) | Epoch=020, loss=7.6456, con=7.2926, intent=2.5729, rec=0.0045, cand_bce=5.4664, n_cand=15375, ilssc=0.0000, il_lam=0.0000, this epoch 0.6683, total 41.2214  alpha=[pap:0.640, psp:0.360]
(T) | Epoch=021, loss=7.6071, con=7.2634, intent=2.5678, rec=0.0070, cand_bce=5.1037, n_cand=15280, ilssc=0.0000, il_lam=0.0000, this epoch 25.9781, total 67.1995
(T) | Epoch=022, loss=7.6254, con=7.2866, intent=2.5633, rec=0.0076, cand_bce=4.9515, n_cand=15280, ilssc=0.0000, il_lam=0.0000, this epoch 0.6672, total 67.8667
(T) | Epoch=023, loss=7.6169, con=7.2780, intent=2.5528, rec=0.0068, cand_bce=5.0460, n_cand=15280, ilssc=0.0000, il_lam=0.0000, this epoch 0.6667, total 68.5334
(T) | Epoch=024, loss=7.7129, con=7.3696, intent=2.5410, rec=0.0060, cand_bce=5.2874, n_cand=15280, ilssc=0.0000, il_lam=0.0000, this epoch 0.6671, total 69.2005
(T) | Epoch=025, loss=7.6946, con=7.3431, intent=2.5327, rec=0.0049, cand_bce=5.6263, n_cand=15280, ilssc=0.0000, il_lam=0.0000, this epoch 0.6668, total 69.8674
(T) | Epoch=026, loss=7.6084, con=7.2496, intent=2.5272, rec=0.0032, cand_bce=5.9273, n_cand=15280, ilssc=0.0000, il_lam=0.0000, this epoch 0.6670, total 70.5344
(T) | Epoch=027, loss=7.6730, con=7.3082, intent=2.5209, rec=0.0039, cand_bce=6.2052, n_cand=15280, ilssc=0.0000, il_lam=0.0000, this epoch 0.6665, total 71.2009
(T) | Epoch=028, loss=7.6705, con=7.2996, intent=2.5155, rec=0.0030, cand_bce=6.4860, n_cand=15280, ilssc=0.0000, il_lam=0.0000, this epoch 0.6659, total 71.8667
(T) | Epoch=029, loss=7.7733, con=7.3976, intent=2.5151, rec=0.0049, cand_bce=6.6324, n_cand=15280, ilssc=0.0000, il_lam=0.0000, this epoch 0.6661, total 72.5328
(T) | Epoch=030, loss=7.8434, con=7.4695, intent=2.5105, rec=0.0065, cand_bce=6.5473, n_cand=15280, ilssc=0.0000, il_lam=0.0000, this epoch 0.6673, total 73.2001  alpha=[pap:0.726, psp:0.274]
(T) | Epoch=031, loss=7.8056, con=7.4283, intent=2.5069, rec=0.0037, cand_bce=6.3045, n_cand=15280, ilssc=5.2911, il_lam=0.0020, il_q=8, il_seed=0.963, il_sim=0.486, il_conn=0.011, il_dist=0.954, il_uniq=8.0, il_neg=0.467, il_neg_dist=0.895, this epoch 0.7680, total 73.9681
(T) | Epoch=032, loss=7.7713, con=7.3884, intent=2.5037, rec=0.0034, cand_bce=6.1384, n_cand=15280, ilssc=5.2497, il_lam=0.0040, il_q=8, il_seed=0.964, il_sim=0.517, il_conn=0.003, il_dist=0.961, il_uniq=8.0, il_neg=0.476, il_neg_dist=0.910, this epoch 0.7446, total 74.7127
(T) | Epoch=033, loss=7.8026, con=7.4094, intent=2.4999, rec=0.0024, cand_bce=6.1830, n_cand=15280, ilssc=5.2094, il_lam=0.0060, il_q=8, il_seed=0.965, il_sim=0.558, il_conn=0.001, il_dist=0.958, il_uniq=8.0, il_neg=0.506, il_neg_dist=0.899, this epoch 0.7410, total 75.4537
(T) | Epoch=034, loss=7.9039, con=7.4984, intent=2.4977, rec=0.0028, cand_bce=6.2961, n_cand=15280, ilssc=5.1633, il_lam=0.0080, il_q=8, il_seed=0.966, il_sim=0.557, il_conn=0.005, il_dist=0.964, il_uniq=8.0, il_neg=0.477, il_neg_dist=0.874, this epoch 0.7429, total 76.1967
(T) | Epoch=035, loss=7.9168, con=7.4990, intent=2.4968, rec=0.0028, cand_bce=6.3210, n_cand=15280, ilssc=5.2842, il_lam=0.0100, il_q=8, il_seed=0.967, il_sim=0.544, il_conn=0.006, il_dist=0.962, il_uniq=8.0, il_neg=0.526, il_neg_dist=0.922, this epoch 0.7347, total 76.9314
(T) | Epoch=036, loss=7.8022, con=7.3776, intent=2.4978, rec=0.0022, cand_bce=6.1931, n_cand=15280, ilssc=5.2013, il_lam=0.0120, il_q=8, il_seed=0.967, il_sim=0.520, il_conn=0.001, il_dist=0.924, il_uniq=8.0, il_neg=0.463, il_neg_dist=0.850, this epoch 0.7403, total 77.6717
(T) | Epoch=037, loss=7.8049, con=7.3729, intent=2.5008, rec=0.0027, cand_bce=6.0552, n_cand=15280, ilssc=5.2111, il_lam=0.0140, il_q=8, il_seed=0.965, il_sim=0.559, il_conn=0.005, il_dist=0.963, il_uniq=8.0, il_neg=0.508, il_neg_dist=0.897, this epoch 0.7349, total 78.4066
(T) | Epoch=038, loss=7.8999, con=7.4549, intent=2.4999, rec=0.0028, cand_bce=6.1833, n_cand=15280, ilssc=5.1929, il_lam=0.0160, il_q=8, il_seed=0.965, il_sim=0.539, il_conn=0.006, il_dist=0.959, il_uniq=8.0, il_neg=0.472, il_neg_dist=0.831, this epoch 0.7484, total 79.1550
(T) | Epoch=039, loss=7.9364, con=7.4730, intent=2.4985, rec=0.0037, cand_bce=6.5115, n_cand=15280, ilssc=5.2063, il_lam=0.0180, il_q=8, il_seed=0.964, il_sim=0.490, il_conn=0.014, il_dist=0.946, il_uniq=8.0, il_neg=0.430, il_neg_dist=0.820, this epoch 0.7419, total 79.8969
(T) | Epoch=040, loss=7.9025, con=7.4223, intent=2.4982, rec=0.0049, cand_bce=6.8154, n_cand=15280, ilssc=5.1209, il_lam=0.0200, il_q=8, il_seed=0.964, il_sim=0.554, il_conn=0.002, il_dist=0.959, il_uniq=8.0, il_neg=0.455, il_neg_dist=0.772, this epoch 0.7354, total 80.6323  alpha=[pap:0.678, psp:0.322]
(T) | Epoch=041, loss=7.7941, con=7.2995, intent=2.4990, rec=0.0053, cand_bce=6.8928, n_cand=15223, ilssc=5.2338, il_lam=0.0220, il_q=8, il_seed=0.965, il_sim=0.507, il_conn=0.001, il_dist=0.960, il_uniq=8.0, il_neg=0.464, il_neg_dist=0.914, this epoch 26.1513, total 106.7836
(T) | Epoch=042, loss=7.7535, con=7.2555, intent=2.4978, rec=0.0035, cand_bce=6.6412, n_cand=15223, ilssc=5.2032, il_lam=0.0240, il_q=8, il_seed=0.966, il_sim=0.510, il_conn=0.005, il_dist=0.945, il_uniq=8.0, il_neg=0.466, il_neg_dist=0.861, this epoch 0.7453, total 107.5289
(T) | Epoch=043, loss=7.8085, con=7.3057, intent=2.5019, rec=0.0038, cand_bce=6.4329, n_cand=15223, ilssc=5.1565, il_lam=0.0260, il_q=8, il_seed=0.963, il_sim=0.537, il_conn=0.006, il_dist=0.957, il_uniq=8.0, il_neg=0.455, il_neg_dist=0.823, this epoch 0.7388, total 108.2677
(T) | Epoch=044, loss=7.7944, con=7.2772, intent=2.5067, rec=0.0037, cand_bce=6.6080, n_cand=15223, ilssc=5.1158, il_lam=0.0280, il_q=8, il_seed=0.960, il_sim=0.561, il_conn=0.002, il_dist=0.956, il_uniq=8.0, il_neg=0.465, il_neg_dist=0.829, this epoch 0.7336, total 109.0013
(T) | Epoch=045, loss=7.8401, con=7.3000, intent=2.5152, rec=0.0045, cand_bce=7.0214, n_cand=15223, ilssc=5.1731, il_lam=0.0300, il_q=8, il_seed=0.957, il_sim=0.497, il_conn=0.006, il_dist=0.949, il_uniq=8.0, il_neg=0.426, il_neg_dist=0.780, this epoch 0.7367, total 109.7380
(T) | Epoch=046, loss=7.8771, con=7.3169, intent=2.5147, rec=0.0044, cand_bce=7.4141, n_cand=15223, ilssc=5.2130, il_lam=0.0320, il_q=8, il_seed=0.954, il_sim=0.552, il_conn=0.012, il_dist=0.944, il_uniq=8.0, il_neg=0.504, il_neg_dist=0.850, this epoch 0.7353, total 110.4734
(T) | Epoch=047, loss=7.8146, con=7.2446, intent=2.5182, rec=0.0043, cand_bce=7.4856, n_cand=15223, ilssc=5.1749, il_lam=0.0340, il_q=8, il_seed=0.955, il_sim=0.572, il_conn=0.012, il_dist=0.960, il_uniq=8.0, il_neg=0.500, il_neg_dist=0.843, this epoch 0.7310, total 111.2044
(T) | Epoch=048, loss=7.8740, con=7.3040, intent=2.5185, rec=0.0056, cand_bce=7.1685, n_cand=15223, ilssc=5.1046, il_lam=0.0360, il_q=8, il_seed=0.954, il_sim=0.542, il_conn=0.002, il_dist=0.959, il_uniq=8.0, il_neg=0.434, il_neg_dist=0.711, this epoch 0.7369, total 111.9413
(T) | Epoch=049, loss=8.0398, con=7.4596, intent=2.5240, rec=0.0075, cand_bce=6.9862, n_cand=15223, ilssc=5.1886, il_lam=0.0380, il_q=8, il_seed=0.953, il_sim=0.622, il_conn=0.003, il_dist=0.966, il_uniq=8.0, il_neg=0.542, il_neg_dist=0.820, this epoch 0.7341, total 112.6754
(T) | Epoch=050, loss=7.9729, con=7.3730, intent=2.5182, rec=0.0081, cand_bce=7.3891, n_cand=15223, ilssc=5.2123, il_lam=0.0400, il_q=8, il_seed=0.956, il_sim=0.561, il_conn=0.001, il_dist=0.959, il_uniq=8.0, il_neg=0.494, il_neg_dist=0.869, this epoch 0.7368, total 113.4122  alpha=[pap:0.437, psp:0.563]
(T) | Epoch=051, loss=7.8720, con=7.2507, intent=2.5158, rec=0.0062, cand_bce=7.9648, n_cand=15223, ilssc=5.1867, il_lam=0.0420, il_q=8, il_seed=0.954, il_sim=0.593, il_conn=0.012, il_dist=0.952, il_uniq=8.0, il_neg=0.513, il_neg_dist=0.822, this epoch 0.7330, total 114.1452
(T) | Epoch=052, loss=7.9066, con=7.2761, intent=2.5211, rec=0.0057, cand_bce=8.1144, n_cand=15223, ilssc=5.0635, il_lam=0.0440, il_q=8, il_seed=0.953, il_sim=0.614, il_conn=0.003, il_dist=0.961, il_uniq=8.0, il_neg=0.476, il_neg_dist=0.753, this epoch 0.7349, total 114.8801
(T) | Epoch=053, loss=7.9827, con=7.3466, intent=2.5292, rec=0.0057, cand_bce=7.6908, n_cand=15223, ilssc=5.1480, il_lam=0.0460, il_q=8, il_seed=0.951, il_sim=0.591, il_conn=0.004, il_dist=0.955, il_uniq=8.0, il_neg=0.493, il_neg_dist=0.767, this epoch 0.7338, total 115.6139
(T) | Epoch=054, loss=8.0816, con=7.4445, intent=2.5344, rec=0.0052, cand_bce=7.2330, n_cand=15223, ilssc=5.1524, il_lam=0.0480, il_q=8, il_seed=0.946, il_sim=0.668, il_conn=0.002, il_dist=0.967, il_uniq=8.0, il_neg=0.571, il_neg_dist=0.821, this epoch 0.7444, total 116.3583
(T) | Epoch=055, loss=8.0514, con=7.4015, intent=2.5576, rec=0.0049, cand_bce=7.1228, n_cand=15223, ilssc=5.2028, il_lam=0.0500, il_q=8, il_seed=0.939, il_sim=0.630, il_conn=0.008, il_dist=0.961, il_uniq=8.0, il_neg=0.555, il_neg_dist=0.794, this epoch 0.7396, total 117.0980
(T) | Epoch=056, loss=7.9832, con=7.3083, intent=2.5643, rec=0.0053, cand_bce=7.6239, n_cand=15223, ilssc=5.2445, il_lam=0.0520, il_q=8, il_seed=0.933, il_sim=0.604, il_conn=0.014, il_dist=0.918, il_uniq=8.0, il_neg=0.576, il_neg_dist=0.793, this epoch 0.7339, total 117.8319
(T) | Epoch=057, loss=8.0626, con=7.3730, intent=2.5890, rec=0.0069, cand_bce=7.9230, n_cand=15223, ilssc=5.1304, il_lam=0.0540, il_q=8, il_seed=0.922, il_sim=0.616, il_conn=0.004, il_dist=0.967, il_uniq=8.0, il_neg=0.510, il_neg_dist=0.826, this epoch 0.7436, total 118.5754
(T) | Epoch=058, loss=8.1468, con=7.4340, intent=2.6122, rec=0.0070, cand_bce=8.0754, n_cand=15223, ilssc=5.2509, il_lam=0.0560, il_q=8, il_seed=0.916, il_sim=0.681, il_conn=0.004, il_dist=0.975, il_uniq=8.0, il_neg=0.623, il_neg_dist=0.891, this epoch 0.7389, total 119.3143
(T) | Epoch=059, loss=8.1110, con=7.3783, intent=2.6372, rec=0.0060, cand_bce=8.5500, n_cand=15223, ilssc=5.2011, il_lam=0.0580, il_q=8, il_seed=0.907, il_sim=0.621, il_conn=0.007, il_dist=0.969, il_uniq=8.0, il_neg=0.539, il_neg_dist=0.837, this epoch 0.7351, total 120.0494
(T) | Epoch=060, loss=8.0216, con=7.2723, intent=2.6380, rec=0.0057, cand_bce=8.8254, n_cand=15223, ilssc=5.2144, il_lam=0.0600, il_q=8, il_seed=0.908, il_sim=0.633, il_conn=0.001, il_dist=0.967, il_uniq=8.0, il_neg=0.568, il_neg_dist=0.875, this epoch 0.7407, total 120.7901  alpha=[pap:0.798, psp:0.202]
(T) | Epoch=061, loss=7.9622, con=7.2160, intent=2.6422, rec=0.0072, cand_bce=8.6057, n_cand=15206, ilssc=5.0740, il_lam=0.0620, il_q=8, il_seed=0.905, il_sim=0.601, il_conn=0.007, il_dist=0.944, il_uniq=8.0, il_neg=0.468, il_neg_dist=0.664, this epoch 25.7590, total 146.5490
(T) | Epoch=062, loss=7.9903, con=7.2463, intent=2.6426, rec=0.0069, cand_bce=8.1545, n_cand=15206, ilssc=5.0432, il_lam=0.0640, il_q=8, il_seed=0.898, il_sim=0.629, il_conn=0.003, il_dist=0.959, il_uniq=8.0, il_neg=0.482, il_neg_dist=0.681, this epoch 0.7406, total 147.2897
(T) | Epoch=063, loss=8.0471, con=7.3126, intent=2.6544, rec=0.0066, cand_bce=7.6754, n_cand=15206, ilssc=4.8939, il_lam=0.0660, il_q=8, il_seed=0.902, il_sim=0.581, il_conn=0.009, il_dist=0.953, il_uniq=8.0, il_neg=0.361, il_neg_dist=0.508, this epoch 0.7429, total 148.0325
(T) | Epoch=064, loss=8.0740, con=7.3163, intent=2.6684, rec=0.0066, cand_bce=7.5767, n_cand=15206, ilssc=5.1044, il_lam=0.0680, il_q=8, il_seed=0.894, il_sim=0.592, il_conn=0.003, il_dist=0.959, il_uniq=8.0, il_neg=0.485, il_neg_dist=0.741, this epoch 0.7565, total 148.7891
(T) | Epoch=065, loss=8.0159, con=7.2384, intent=2.6726, rec=0.0068, cand_bce=7.9443, n_cand=15206, ilssc=5.1284, il_lam=0.0700, il_q=8, il_seed=0.884, il_sim=0.620, il_conn=0.001, il_dist=0.943, il_uniq=8.0, il_neg=0.514, il_neg_dist=0.765, this epoch 0.7553, total 149.5444
(T) | Epoch=066, loss=8.0116, con=7.2304, intent=2.6982, rec=0.0064, cand_bce=8.2208, n_cand=15206, ilssc=4.9215, il_lam=0.0720, il_q=8, il_seed=0.883, il_sim=0.617, il_conn=0.002, il_dist=0.955, il_uniq=8.0, il_neg=0.423, il_neg_dist=0.590, this epoch 0.7544, total 150.2987
(T) | Epoch=067, loss=8.1333, con=7.3212, intent=2.7061, rec=0.0058, cand_bce=8.5547, n_cand=15206, ilssc=5.1055, il_lam=0.0740, il_q=8, il_seed=0.879, il_sim=0.587, il_conn=0.007, il_dist=0.950, il_uniq=8.0, il_neg=0.462, il_neg_dist=0.697, this epoch 0.7460, total 151.0447
(T) | Epoch=068, loss=8.1482, con=7.3348, intent=2.7252, rec=0.0054, cand_bce=8.4075, n_cand=15206, ilssc=5.0011, il_lam=0.0760, il_q=8, il_seed=0.869, il_sim=0.660, il_conn=0.001, il_dist=0.960, il_uniq=8.0, il_neg=0.487, il_neg_dist=0.661, this epoch 0.7527, total 151.7975
(T) | Epoch=069, loss=8.0750, con=7.2514, intent=2.7228, rec=0.0058, cand_bce=8.2108, n_cand=15206, ilssc=5.0581, il_lam=0.0780, il_q=8, il_seed=0.879, il_sim=0.592, il_conn=0.001, il_dist=0.953, il_uniq=8.0, il_neg=0.454, il_neg_dist=0.682, this epoch 0.7596, total 152.5571
(T) | Epoch=070, loss=8.1247, con=7.2934, intent=2.7384, rec=0.0055, cand_bce=7.5771, n_cand=15206, ilssc=5.1798, il_lam=0.0800, il_q=8, il_seed=0.856, il_sim=0.655, il_conn=0.014, il_dist=0.947, il_uniq=8.0, il_neg=0.572, il_neg_dist=0.817, this epoch 0.7576, total 153.3147  alpha=[pap:0.580, psp:0.420]
(T) | Epoch=071, loss=8.2578, con=7.4347, intent=2.7502, rec=0.0069, cand_bce=7.0981, n_cand=15206, ilssc=5.0603, il_lam=0.0820, il_q=8, il_seed=0.864, il_sim=0.582, il_conn=0.001, il_dist=0.942, il_uniq=8.0, il_neg=0.441, il_neg_dist=0.714, this epoch 0.7629, total 154.0776
(T) | Epoch=072, loss=8.2705, con=7.4394, intent=2.7516, rec=0.0050, cand_bce=6.9606, n_cand=15206, ilssc=5.0734, il_lam=0.0840, il_q=7, il_seed=0.867, il_sim=0.636, il_conn=0.001, il_dist=0.969, il_uniq=8.0, il_neg=0.495, il_neg_dist=0.750, this epoch 0.7598, total 154.8375
(T) | Epoch=073, loss=8.2480, con=7.3958, intent=2.7524, rec=0.0060, cand_bce=7.1006, n_cand=15206, ilssc=5.1628, il_lam=0.0860, il_q=8, il_seed=0.855, il_sim=0.571, il_conn=0.004, il_dist=0.939, il_uniq=8.0, il_neg=0.485, il_neg_dist=0.797, this epoch 0.7633, total 155.6008
(T) | Epoch=074, loss=8.4266, con=7.5669, intent=2.7800, rec=0.0057, cand_bce=7.0521, n_cand=15206, ilssc=5.1034, il_lam=0.0880, il_q=8, il_seed=0.850, il_sim=0.599, il_conn=0.006, il_dist=0.938, il_uniq=8.0, il_neg=0.484, il_neg_dist=0.757, this epoch 0.7594, total 156.3602
(T) | Epoch=075, loss=8.5515, con=7.6679, intent=2.7882, rec=0.0037, cand_bce=7.1972, n_cand=15206, ilssc=5.2171, il_lam=0.0900, il_q=8, il_seed=0.850, il_sim=0.565, il_conn=0.007, il_dist=0.943, il_uniq=8.0, il_neg=0.495, il_neg_dist=0.805, this epoch 0.7527, total 157.1129
(T) | Epoch=076, loss=8.4652, con=7.5812, intent=2.7822, rec=0.0040, cand_bce=7.3931, n_cand=15206, ilssc=5.0711, il_lam=0.0920, il_q=8, il_seed=0.849, il_sim=0.539, il_conn=0.004, il_dist=0.948, il_uniq=8.0, il_neg=0.407, il_neg_dist=0.641, this epoch 0.7497, total 157.8626
(T) | Epoch=077, loss=8.3878, con=7.4828, intent=2.7802, rec=0.0066, cand_bce=7.5115, n_cand=15206, ilssc=5.1587, il_lam=0.0940, il_q=8, il_seed=0.851, il_sim=0.593, il_conn=0.012, il_dist=0.922, il_uniq=8.0, il_neg=0.509, il_neg_dist=0.754, this epoch 0.7493, total 158.6118
(T) | Epoch=078, loss=8.4423, con=7.5354, intent=2.7704, rec=0.0067, cand_bce=7.8257, n_cand=15206, ilssc=5.0127, il_lam=0.0960, il_q=8, il_seed=0.854, il_sim=0.607, il_conn=0.004, il_dist=0.951, il_uniq=8.0, il_neg=0.444, il_neg_dist=0.677, this epoch 0.7587, total 159.3705
(T) | Epoch=079, loss=8.5121, con=7.5891, intent=2.7470, rec=0.0064, cand_bce=8.3370, n_cand=15206, ilssc=4.9919, il_lam=0.0980, il_q=8, il_seed=0.862, il_sim=0.614, il_conn=0.001, il_dist=0.952, il_uniq=8.0, il_neg=0.435, il_neg_dist=0.642, this epoch 0.7446, total 160.1151
