[log] 运行日志写入: log\run_ACM_20260719_181016.log
Using CPU
Using CPU
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
[IGQC] 全量图邻接表就绪, lambda=0.1, pos=20 neg=512 B=8 gate=True
(T) | Epoch=001, loss=11.4356, con=8.2104, intent=4.9814, rec=0.0015, igqc=6.3248, this epoch 240.8156, total 245.3223  alpha=[pap:0.490, psp:0.510]
(T) | Epoch=002, loss=10.5624, con=8.5730, intent=3.6765, rec=0.0016, igqc=6.2178, this epoch 180.1753, total 425.4976
(T) | Epoch=003, loss=9.9890, con=8.3992, intent=3.0157, rec=0.0012, igqc=6.2119, this epoch 153.2973, total 578.7949
(T) | Epoch=004, loss=9.8130, con=8.3603, intent=2.7220, rec=0.0031, igqc=6.2026, this epoch 125.8323, total 704.6272
(T) | Epoch=005, loss=9.6422, con=8.2420, intent=2.6038, rec=0.0027, igqc=6.1752, this epoch 122.2282, total 826.8553
(T) | Epoch=006, loss=9.4912, con=8.0861, intent=2.5871, rec=0.0046, igqc=6.1699, this epoch 127.5360, total 954.3914
(T) | Epoch=007, loss=9.2673, con=7.8402, intent=2.6040, rec=0.0061, igqc=6.1481, this epoch 147.9928, total 1102.3842
(T) | Epoch=008, loss=9.2264, con=7.7878, intent=2.6059, rec=0.0090, igqc=6.1622, this epoch 143.4801, total 1245.8643
(T) | Epoch=009, loss=9.2470, con=7.7895, intent=2.6185, rec=0.0108, igqc=6.1010, this epoch 132.6355, total 1378.4998
(T) | Epoch=010, loss=9.1262, con=7.6524, intent=2.5998, rec=0.0136, igqc=6.1314, this epoch 126.4562, total 1504.9560  alpha=[pap:0.614, psp:0.386]
(T) | Epoch=011, loss=9.0706, con=7.5868, intent=2.5846, rec=0.0151, igqc=6.1180, this epoch 131.5011, total 1636.4571
(T) | Epoch=012, loss=8.9790, con=7.4799, intent=2.5902, rec=0.0165, igqc=6.1223, this epoch 133.8453, total 1770.3024
(T) | Epoch=013, loss=8.9101, con=7.4077, intent=2.5852, rec=0.0165, igqc=6.0664, this epoch 125.5234, total 1895.8258
(T) | Epoch=014, loss=8.8462, con=7.3369, intent=2.5617, rec=0.0175, igqc=6.1244, this epoch 121.5666, total 2017.3924
(T) | Epoch=015, loss=8.8516, con=7.3454, intent=2.5436, rec=0.0171, igqc=6.0911, this epoch 122.8410, total 2140.2334
(T) | Epoch=016, loss=8.7058, con=7.1814, intent=2.5406, rec=0.0162, igqc=6.1891, this epoch 122.6645, total 2262.8978
(T) | Epoch=017, loss=8.6695, con=7.1326, intent=2.5450, rec=0.0126, igqc=6.2175, this epoch 125.0212, total 2387.9190
(T) | Epoch=018, loss=8.6574, con=7.1155, intent=2.5480, rec=0.0098, igqc=6.2216, this epoch 123.3178, total 2511.2368
(T) | Epoch=019, loss=8.6077, con=7.0671, intent=2.5405, rec=0.0095, igqc=6.2215, this epoch 126.8038, total 2638.0406
(T) | Epoch=020, loss=8.6288, con=7.0946, intent=2.5215, rec=0.0095, igqc=6.2229, this epoch 119.7315, total 2757.7721  alpha=[pap:0.718, psp:0.282]
(T) | Epoch=021, loss=8.6644, con=7.1347, intent=2.5039, rec=0.0119, igqc=6.1970, this epoch 124.2552, total 2882.0273
(T) | Epoch=022, loss=8.6041, con=7.0735, intent=2.4916, rec=0.0094, igqc=6.1988, this epoch 123.0223, total 3005.0496
(T) | Epoch=023, loss=8.5872, con=7.0578, intent=2.4846, rec=0.0112, igqc=6.1893, this epoch 117.3898, total 3122.4394
(T) | Epoch=024, loss=8.6103, con=7.0879, intent=2.4830, rec=0.0093, igqc=6.1599, this epoch 118.4118, total 3240.8512
(T) | Epoch=025, loss=8.5696, con=7.0463, intent=2.4827, rec=0.0077, igqc=6.1901, this epoch 120.9401, total 3361.7913
(T) | Epoch=026, loss=8.5857, con=7.0679, intent=2.4807, rec=0.0097, igqc=6.1340, this epoch 128.1471, total 3489.9384
(T) | Epoch=027, loss=8.6033, con=7.0854, intent=2.4791, rec=0.0094, igqc=6.1164, this epoch 124.7692, total 3614.7077
(T) | Epoch=028, loss=8.5986, con=7.0770, intent=2.4762, rec=0.0106, igqc=6.1646, this epoch 127.1001, total 3741.8078
(T) | Epoch=029, loss=8.6396, con=7.1263, intent=2.4693, rec=0.0105, igqc=6.1610, this epoch 133.0833, total 3874.8911
(T) | Epoch=030, loss=8.6543, con=7.1510, intent=2.4620, rec=0.0118, igqc=6.1324, this epoch 121.6270, total 3996.5181  alpha=[pap:0.776, psp:0.224]
(T) | Epoch=031, loss=8.6214, con=7.1207, intent=2.4566, rec=0.0123, igqc=6.1385, this epoch 122.1193, total 4118.6374
(T) | Epoch=032, loss=8.5819, con=7.0842, intent=2.4548, rec=0.0100, igqc=6.1128, this epoch 120.9179, total 4239.5553
(T) | Epoch=033, loss=8.5769, con=7.0842, intent=2.4554, rec=0.0106, igqc=6.0526, this epoch 123.3271, total 4362.8824
(T) | Epoch=034, loss=8.6525, con=7.1568, intent=2.4561, rec=0.0104, igqc=6.1124, this epoch 125.3810, total 4488.2634
(T) | Epoch=035, loss=8.6555, con=7.1642, intent=2.4523, rec=0.0119, igqc=6.0886, this epoch 114.7248, total 4602.9882
(T) | Epoch=036, loss=8.5876, con=7.0971, intent=2.4477, rec=0.0103, igqc=6.0756, this epoch 115.4479, total 4718.4361
(T) | Epoch=037, loss=8.6032, con=7.1084, intent=2.4421, rec=0.0099, igqc=6.1023, this epoch 112.2980, total 4830.7341
