[log] 运行日志写入: log/run_ACM_20260805_123101.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.002 ic_spnm_pos=40 ic_spnm_neg=64 ic_spnm_hard_pool=512 cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] pap.npz: 57853 -> 30852 edges (avg_deg 14 -> 8, top-k=10)
  [sparsify] psp.npz: 4338213 -> 75790 edges (avg_deg 1079 -> 19, top-k=10)
[data] 多关系 R=2: pap(30852 edges), psp(75790 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=1 icra_heads=1 icra_dim=64
[IC-SPNM] 全量图邻接表就绪, lambda=0.002, pos=40 neg=64 B=4 pool=512 intent_beta=2.0 struct_beta=1.0 susp_alpha=0.0
(T) | Epoch=001, loss=8.8332, con=8.4559, intent=4.9538, rec=0.0024, ic_spnm=4.3173, ic_q=4, ic_pos=0.041, ic_neg=0.597, this epoch 1.2511, total 3.5798  alpha=[pap:0.507, psp:0.493]
(T) | Epoch=002, loss=8.6498, con=8.3660, intent=4.0456, rec=0.0058, ic_spnm=4.3308, ic_q=4, ic_pos=0.394, ic_neg=0.527, this epoch 0.6302, total 4.2100
(T) | Epoch=003, loss=8.3486, con=8.1160, intent=3.4551, rec=0.0058, ic_spnm=4.2683, ic_q=4, ic_pos=0.644, ic_neg=0.499, this epoch 0.6622, total 4.8722
(T) | Epoch=004, loss=8.0747, con=7.8647, intent=3.1461, rec=0.0083, ic_spnm=4.3079, ic_q=4, ic_pos=0.741, ic_neg=0.471, this epoch 0.6563, total 5.5286
(T) | Epoch=005, loss=8.0639, con=7.8556, intent=2.9559, rec=0.0136, ic_spnm=4.2384, ic_q=4, ic_pos=0.814, ic_neg=0.400, this epoch 0.6598, total 6.1884
(T) | Epoch=006, loss=7.9147, con=7.7051, intent=2.8752, rec=0.0132, ic_spnm=4.3165, ic_q=4, ic_pos=0.860, ic_neg=0.389, this epoch 0.6589, total 6.8472
(T) | Epoch=007, loss=7.8009, con=7.5892, intent=2.8474, rec=0.0184, ic_spnm=4.2013, ic_q=4, ic_pos=0.852, ic_neg=0.370, this epoch 0.6563, total 7.5035
(T) | Epoch=008, loss=7.7292, con=7.5109, intent=2.8075, rec=0.0124, ic_spnm=4.3796, ic_q=4, ic_pos=0.877, ic_neg=0.372, this epoch 0.6574, total 8.1609
(T) | Epoch=009, loss=7.6725, con=7.4466, intent=2.7675, rec=0.0146, ic_spnm=4.2769, ic_q=4, ic_pos=0.880, ic_neg=0.338, this epoch 0.6589, total 8.8198
(T) | Epoch=010, loss=7.6457, con=7.4123, intent=2.7344, rec=0.0169, ic_spnm=4.2978, ic_q=4, ic_pos=0.899, ic_neg=0.355, this epoch 0.6602, total 9.4800  alpha=[pap:0.614, psp:0.386]
(T) | Epoch=011, loss=7.6192, con=7.3811, intent=2.7044, rec=0.0153, ic_spnm=4.2761, ic_q=4, ic_pos=0.912, ic_neg=0.343, this epoch 0.6618, total 10.1418
(T) | Epoch=012, loss=7.5645, con=7.3237, intent=2.6819, rec=0.0145, ic_spnm=4.3246, ic_q=4, ic_pos=0.910, ic_neg=0.304, this epoch 0.6573, total 10.7990
(T) | Epoch=013, loss=7.4956, con=7.2538, intent=2.6567, rec=0.0178, ic_spnm=4.2787, ic_q=4, ic_pos=0.924, ic_neg=0.323, this epoch 0.6610, total 11.4601
(T) | Epoch=014, loss=7.4234, con=7.1794, intent=2.6414, rec=0.0154, ic_spnm=4.3296, ic_q=4, ic_pos=0.930, ic_neg=0.319, this epoch 0.6612, total 12.1213
