(T) | Epoch=030, loss=6.8612, con=6.6338, intent=2.4508, rec=0.0001, this epoch 0.9164, total 28.0479  alpha=[apa:0.151, apcpa:0.461, aptpa:0.387]
(T) | Epoch=031, loss=6.8577, con=6.6304, intent=2.4495, rec=0.0001, this epoch 0.9241, total 28.9720
(T) | Epoch=032, loss=6.8565, con=6.6295, intent=2.4465, rec=0.0001, this epoch 0.9190, total 29.8910
(T) | Epoch=033, loss=6.8544, con=6.6278, intent=2.4428, rec=0.0001, this epoch 0.9216, total 30.8127
(T) | Epoch=034, loss=6.8501, con=6.6230, intent=2.4485, rec=0.0001, this epoch 0.9228, total 31.7354
(T) | Epoch=035, loss=6.8438, con=6.6178, intent=2.4380, rec=0.0001, this epoch 0.9212, total 32.6566
(T) | Epoch=036, loss=6.8425, con=6.6166, intent=2.4379, rec=0.0001, this epoch 0.9179, total 33.5745
(T) | Epoch=037, loss=6.8442, con=6.6187, intent=2.4326, rec=0.0001, this epoch 0.9146, total 34.4891
(T) | Epoch=038, loss=6.8445, con=6.6193, intent=2.4309, rec=0.0001, this epoch 0.9159, total 35.4049
(T) | Epoch=039, loss=6.8411, con=6.6160, intent=2.4295, rec=0.0001, this epoch 0.9177, total 36.3226
(T) | Epoch=040, loss=6.8370, con=6.6121, intent=2.4285, rec=0.0001, this epoch 0.9169, total 37.2395  alpha=[apa:0.154, apcpa:0.444, aptpa:0.403]
(T) | Epoch=041, loss=6.8360, con=6.6111, intent=2.4277, rec=0.0001, this epoch 0.9951, total 38.2346
(T) | Epoch=042, loss=6.8376, con=6.6129, intent=2.4261, rec=0.0001, this epoch 0.9242, total 39.1588
(T) | Epoch=043, loss=6.8378, con=6.6133, intent=2.4249, rec=0.0001, this epoch 0.9201, total 40.0789
(T) | Epoch=044, loss=6.8356, con=6.6114, intent=2.4224, rec=0.0001, this epoch 0.9165, total 40.9955
(T) | Epoch=045, loss=6.8338, con=6.6096, intent=2.4225, rec=0.0001, this epoch 0.9177, total 41.9132
