[log] 运行日志写入: log/run_ACM_20260805_120722.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.02 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] pap.npz: 57853 -> 30852 edges (avg_deg 14 -> 8, top-k=10)
  [sparsify] psp.npz: 4338213 -> 75790 edges (avg_deg 1079 -> 19, top-k=10)
[data] 多关系 R=2: pap(30852 edges), psp(75790 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=1 icra_heads=1 icra_dim=64
[IC-SPNM] 全量图邻接表就绪, lambda=0.02, pos=20 neg=256 B=8 pool=2048 intent_beta=1.0 struct_beta=0.5 susp_alpha=0.0
(T) | Epoch=001, loss=8.9392, con=8.4559, intent=4.9538, rec=0.0024, ic_spnm=5.7313, ic_q=8, ic_pos=0.044, ic_neg=0.598, this epoch 1.4041, total 3.7849  alpha=[pap:0.507, psp:0.493]
(T) | Epoch=002, loss=8.7566, con=8.3666, intent=4.0450, rec=0.0056, ic_spnm=5.7477, ic_q=8, ic_pos=0.395, ic_neg=0.522, this epoch 0.7458, total 4.5307
(T) | Epoch=003, loss=8.4568, con=8.1197, intent=3.4438, rec=0.0057, ic_spnm=5.7107, ic_q=8, ic_pos=0.643, ic_neg=0.530, this epoch 0.7677, total 5.2984
(T) | Epoch=004, loss=8.1786, con=7.8628, intent=3.1376, rec=0.0079, ic_spnm=5.7389, ic_q=8, ic_pos=0.766, ic_neg=0.482, this epoch 0.7653, total 6.0637
(T) | Epoch=005, loss=8.1708, con=7.8567, intent=2.9509, rec=0.0129, ic_spnm=5.7117, ic_q=8, ic_pos=0.816, ic_neg=0.424, this epoch 0.7441, total 6.8078
(T) | Epoch=006, loss=8.0202, con=7.7057, intent=2.8675, rec=0.0128, ic_spnm=5.6442, ic_q=8, ic_pos=0.854, ic_neg=0.422, this epoch 0.7763, total 7.5841
(T) | Epoch=007, loss=7.9069, con=7.5886, intent=2.8436, rec=0.0174, ic_spnm=5.7167, ic_q=8, ic_pos=0.868, ic_neg=0.404, this epoch 0.7691, total 8.3532
(T) | Epoch=008, loss=7.8331, con=7.5089, intent=2.8019, rec=0.0120, ic_spnm=5.7343, ic_q=8, ic_pos=0.886, ic_neg=0.383, this epoch 0.7901, total 9.1433
(T) | Epoch=009, loss=7.7814, con=7.4490, intent=2.7658, rec=0.0143, ic_spnm=5.7331, ic_q=8, ic_pos=0.891, ic_neg=0.365, this epoch 0.7839, total 9.9273
(T) | Epoch=010, loss=7.7562, con=7.4173, intent=2.7296, rec=0.0174, ic_spnm=5.7015, ic_q=8, ic_pos=0.891, ic_neg=0.345, this epoch 0.7635, total 10.6908  alpha=[pap:0.607, psp:0.393]
(T) | Epoch=011, loss=7.7260, con=7.3816, intent=2.7046, rec=0.0139, ic_spnm=5.7341, ic_q=8, ic_pos=0.912, ic_neg=0.350, this epoch 0.7923, total 11.4831
