[log] 运行日志写入: log/run_DBLP_20260805_145852.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 relation_fusion=transformer cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] DBLP: merged ['apa.npz', 'apcpa.npz', 'aptpa.npz'] -> 8947540 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] apcpa.npz: 5000495 -> 80544 edges (avg_deg 1233 -> 20, top-k=10)
  [sparsify] aptpa.npz: 7043571 -> 77930 edges (avg_deg 1736 -> 19, top-k=10)
[data] 多关系 R=3: apa(7056 edges), apcpa(80544 edges), aptpa(77930 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+TRANSFORMER  R=3 hii_heads=1 icra_heads=1 icra_dim=64
(T) | Epoch=040, loss=6.9777, con=6.7347, intent=2.4251, rec=0.0050, this epoch 1.0164, total 40.8469  alpha=[apa:0.937, apcpa:0.034, aptpa:0.028]
(T) | Epoch=041, loss=6.9846, con=6.7418, intent=2.4232, rec=0.0043, this epoch 1.0810, total 41.9280
(T) | Epoch=042, loss=6.9810, con=6.7385, intent=2.4212, rec=0.0049, this epoch 1.0091, total 42.9371
(T) | Epoch=043, loss=6.9738, con=6.7311, intent=2.4201, rec=0.0048, this epoch 1.0073, total 43.9444
(T) | Epoch=044, loss=6.9716, con=6.7294, intent=2.4164, rec=0.0048, this epoch 1.0086, total 44.9530
(T) | Epoch=045, loss=6.9731, con=6.7308, intent=2.4173, rec=0.0043, this epoch 1.0130, total 45.9660
(T) | Epoch=046, loss=6.9694, con=6.7274, intent=2.4153, rec=0.0041, this epoch 1.0100, total 46.9759
(T) | Epoch=047, loss=6.9621, con=6.7202, intent=2.4125, rec=0.0064, this epoch 1.0203, total 47.9962
(T) | Epoch=048, loss=6.9599, con=6.7186, intent=2.4103, rec=0.0034, this epoch 1.0202, total 49.0164
(T) | Epoch=049, loss=6.9628, con=6.7215, intent=2.4093, rec=0.0055, this epoch 1.0122, total 50.0286
(T) | Epoch=050, loss=6.9635, con=6.7222, intent=2.4116, rec=0.0043, this epoch 1.0147, total 51.0433  alpha=[apa:0.923, apcpa:0.053, aptpa:0.024]
(T) | Epoch=051, loss=6.9572, con=6.7164, intent=2.4064, rec=0.0057, this epoch 1.0209, total 52.0642
(T) | Epoch=052, loss=6.9527, con=6.7123, intent=2.4047, rec=0.0056, this epoch 1.0181, total 53.0823
(T) | Epoch=053, loss=6.9530, con=6.7124, intent=2.4087, rec=0.0052, this epoch 1.0108, total 54.0931
(T) | Epoch=054, loss=6.9551, con=6.7151, intent=2.4026, rec=0.0059, this epoch 1.0215, total 55.1146
(T) | Epoch=055, loss=6.9557, con=6.7159, intent=2.4021, rec=0.0062, this epoch 1.0171, total 56.1318
(T) | Epoch=056, loss=6.9525, con=6.7125, intent=2.3994, rec=0.0061, this epoch 1.0178, total 57.1496
(T) | Epoch=057, loss=6.9471, con=6.7073, intent=2.3977, rec=0.0065, this epoch 1.0233, total 58.1729
(T) | Epoch=058, loss=6.9397, con=6.6997, intent=2.3984, rec=0.0069, this epoch 1.0167, total 59.1896
(T) | Epoch=059, loss=6.9345, con=6.6949, intent=2.3956, rec=0.0052, this epoch 1.0158, total 60.2054
(T) | Epoch=060, loss=6.9318, con=6.6922, intent=2.3934, rec=0.0059, this epoch 1.0172, total 61.2225  alpha=[apa:0.923, apcpa:0.049, aptpa:0.028]
(T) | Epoch=061, loss=6.9320, con=6.6923, intent=2.3944, rec=0.0059, this epoch 1.0970, total 62.3195
(T) | Epoch=062, loss=6.9315, con=6.6919, intent=2.3924, rec=0.0062, this epoch 1.0092, total 63.3288
(T) | Epoch=063, loss=6.9297, con=6.6905, intent=2.3888, rec=0.0056, this epoch 1.0154, total 64.3442
(T) | Epoch=064, loss=6.9264, con=6.6873, intent=2.3878, rec=0.0050, this epoch 1.0126, total 65.3567
(T) | Epoch=065, loss=6.9255, con=6.6866, intent=2.3884, rec=0.0056, this epoch 1.0133, total 66.3700
(T) | Epoch=066, loss=6.9262, con=6.6871, intent=2.3871, rec=0.0067, this epoch 1.0173, total 67.3873
(T) | Epoch=067, loss=6.9273, con=6.6888, intent=2.3871, rec=0.0058, this epoch 1.0150, total 68.4023
(T) | Epoch=068, loss=6.9244, con=6.6863, intent=2.3825, rec=0.0057, this epoch 1.0177, total 69.4200
(T) | Epoch=069, loss=6.9219, con=6.6844, intent=2.3825, rec=0.0058, this epoch 1.0131, total 70.4331
(T) | Epoch=070, loss=6.9201, con=6.6833, intent=2.3802, rec=0.0062, this epoch 1.0216, total 71.4547  alpha=[apa:0.889, apcpa:0.068, aptpa:0.043]
(T) | Epoch=071, loss=6.9233, con=6.6876, intent=2.3780, rec=0.0058, this epoch 1.0172, total 72.4719
(T) | Epoch=072, loss=6.9224, con=6.6867, intent=2.3764, rec=0.0050, this epoch 1.0139, total 73.4858
(T) | Epoch=073, loss=6.9226, con=6.6859, intent=2.3768, rec=0.0050, this epoch 1.0207, total 74.5066
(T) | Epoch=074, loss=6.9199, con=6.6831, intent=2.3744, rec=0.0054, this epoch 1.0166, total 75.5232
(T) | Epoch=075, loss=6.9197, con=6.6828, intent=2.3736, rec=0.0048, this epoch 1.0230, total 76.5461
(T) | Epoch=076, loss=6.9213, con=6.6845, intent=2.3738, rec=0.0044, this epoch 1.0186, total 77.5647
(T) | Epoch=077, loss=6.9227, con=6.6862, intent=2.3726, rec=0.0049, this epoch 1.0195, total 78.5843
(T) | Epoch=078, loss=6.9210, con=6.6848, intent=2.3706, rec=0.0048, this epoch 1.0209, total 79.6052
(T) | Epoch=079, loss=6.9180, con=6.6820, intent=2.3702, rec=0.0049, this epoch 1.0174, total 80.6226
(T) | Epoch=080, loss=6.9135, con=6.6774, intent=2.3693, rec=0.0048, this epoch 1.0155, total 81.6381  alpha=[apa:0.880, apcpa:0.104, aptpa:0.016]
(T) | Epoch=081, loss=6.9088, con=6.6728, intent=2.3684, rec=0.0051, this epoch 1.0904, total 82.7285
(T) | Epoch=082, loss=6.9050, con=6.6692, intent=2.3667, rec=0.0047, this epoch 1.0131, total 83.7416
(T) | Epoch=083, loss=6.9027, con=6.6672, intent=2.3651, rec=0.0055, this epoch 1.0149, total 84.7565
(T) | Epoch=084, loss=6.9030, con=6.6676, intent=2.3669, rec=0.0048, this epoch 1.0161, total 85.7726
(T) | Epoch=085, loss=6.9034, con=6.6685, intent=2.3640, rec=0.0048, this epoch 1.0174, total 86.7900
(T) | Epoch=086, loss=6.9043, con=6.6693, intent=2.3672, rec=0.0046, this epoch 1.0212, total 87.8112
