[log] 运行日志写入: log/run_DBLP_20260811_093750.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.1 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.2 ilssc_warmup=10 ilssc_ramp=30 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.14,) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.2 greedy_comm_cohesion_beta=0.05 greedy_comm_direct_beta=0.1 greedy_boundary_gamma=0.03 greedy_hse_pool_size=64 include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] DBLP: merged ['apa.npz', 'apcpa.npz', 'aptpa.npz'] -> 8947540 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] apcpa.npz: 5000495 -> 80544 edges (avg_deg 1233 -> 20, top-k=10)
  [sparsify] aptpa.npz: 7043571 -> 77930 edges (avg_deg 1736 -> 19, top-k=10)
[data] 多关系 R=3: apa(7056 edges), apcpa(80544 edges), aptpa(77930 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=3 hii_heads=1 icra_heads=1 icra_dim=64
[ILSSC] 全量图邻接表就绪, lambda=0.1, seed=8 neg=256 B=8 pool=2048 hops=2 frontier_pool=128 conn_beta=0.3 sim_beta=0.5 high_order_beta=0.2 proto_alpha=0.5 use_intent_dist=False dist_k=16 dist_tau=0.2 dist_beta=0.5 dist_proto_mode=random dist_stable=False dist_update_interval=10 dist_ema=0.7 dist_conf_tau=0.05 dist_min_conf=0.0
(T) | Epoch=001, loss=7.7095, con=7.3516, intent=5.0260, rec=0.0010, ilssc=0.0000, il_lam=0.0000, this epoch 1.5471, total 6.6063  alpha=[apa:0.340, apcpa:0.338, aptpa:0.322]
(T) | Epoch=014, loss=6.9708, con=6.6759, intent=2.5555, rec=0.0010, ilssc=4.7368, il_lam=0.0133, il_q=8, il_seed=0.936, il_sim=0.343, il_conn=0.001, il_dist=0.000, il_high=0.711, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.140, il_neg_dist=0.000, il_neg_high=0.365, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9552, total 26.9949
(T) | Epoch=015, loss=6.9781, con=6.6658, intent=2.5422, rec=0.0008, ilssc=4.7971, il_lam=0.0167, il_q=8, il_seed=0.946, il_sim=0.307, il_conn=0.000, il_dist=0.000, il_high=0.740, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.139, il_neg_dist=0.000, il_neg_high=0.417, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9305, total 29.9255
(T) | Epoch=016, loss=6.9829, con=6.6561, intent=2.5227, rec=0.0007, ilssc=4.7574, il_lam=0.0200, il_q=8, il_seed=0.954, il_sim=0.284, il_conn=0.000, il_dist=0.000, il_high=0.765, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.109, il_neg_dist=0.000, il_neg_high=0.406, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9836, total 32.9090
(T) | Epoch=017, loss=6.9963, con=6.6522, intent=2.5150, rec=0.0005, ilssc=4.8176, il_lam=0.0233, il_q=8, il_seed=0.957, il_sim=0.275, il_conn=0.000, il_dist=0.000, il_high=0.756, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.119, il_neg_dist=0.000, il_neg_high=0.422, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9098, total 35.8189
(T) | Epoch=018, loss=7.0100, con=6.6493, intent=2.4997, rec=0.0005, ilssc=4.8821, il_lam=0.0267, il_q=8, il_seed=0.959, il_sim=0.264, il_conn=0.000, il_dist=0.000, il_high=0.723, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.125, il_neg_dist=0.000, il_neg_high=0.392, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.8430, total 38.6619
(T) | Epoch=019, loss=7.0194, con=6.6448, intent=2.4984, rec=0.0005, ilssc=4.7988, il_lam=0.0300, il_q=8, il_seed=0.965, il_sim=0.270, il_conn=0.000, il_dist=0.000, il_high=0.743, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.099, il_neg_dist=0.000, il_neg_high=0.435, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7139, total 41.3758
(T) | Epoch=020, loss=7.0285, con=6.6458, intent=2.4874, rec=0.0004, ilssc=4.5930, il_lam=0.0333, il_q=8, il_seed=0.967, il_sim=0.334, il_conn=0.000, il_dist=0.000, il_high=0.740, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.088, il_neg_dist=0.000, il_neg_high=0.417, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7728, total 44.1487  alpha=[apa:0.229, apcpa:0.407, aptpa:0.364]
(T) | Epoch=021, loss=7.0570, con=6.6523, intent=2.4799, rec=0.0003, ilssc=4.7906, il_lam=0.0367, il_q=8, il_seed=0.972, il_sim=0.270, il_conn=0.000, il_dist=0.000, il_high=0.783, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.088, il_neg_dist=0.000, il_neg_high=0.453, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.1320, total 47.2807
(T) | Epoch=022, loss=7.0702, con=6.6544, intent=2.4750, rec=0.0003, ilssc=4.6775, il_lam=0.0400, il_q=8, il_seed=0.971, il_sim=0.296, il_conn=0.000, il_dist=0.000, il_high=0.776, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.089, il_neg_dist=0.000, il_neg_high=0.423, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.1334, total 50.4140
(T) | Epoch=023, loss=7.0772, con=6.6468, intent=2.4708, rec=0.0002, ilssc=4.6620, il_lam=0.0433, il_q=8, il_seed=0.974, il_sim=0.303, il_conn=0.000, il_dist=0.000, il_high=0.810, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.080, il_neg_dist=0.000, il_neg_high=0.458, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9864, total 53.4004
(T) | Epoch=024, loss=7.0841, con=6.6349, intent=2.4664, rec=0.0002, ilssc=4.7388, il_lam=0.0467, il_q=8, il_seed=0.976, il_sim=0.277, il_conn=0.000, il_dist=0.000, il_high=0.796, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.075, il_neg_dist=0.000, il_neg_high=0.477, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7163, total 56.1167
(T) | Epoch=025, loss=7.0902, con=6.6273, intent=2.4647, rec=0.0001, ilssc=4.6993, il_lam=0.0500, il_q=8, il_seed=0.974, il_sim=0.276, il_conn=0.000, il_dist=0.000, il_high=0.750, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.120, il_neg_dist=0.000, il_neg_high=0.403, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.0339, total 59.1506
(T) | Epoch=026, loss=7.1058, con=6.6280, intent=2.4632, rec=0.0001, ilssc=4.6852, il_lam=0.0533, il_q=8, il_seed=0.975, il_sim=0.276, il_conn=0.000, il_dist=0.000, il_high=0.788, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.057, il_neg_dist=0.000, il_neg_high=0.457, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7071, total 61.8578
(T) | Epoch=027, loss=7.1309, con=6.6334, intent=2.4580, rec=0.0001, ilssc=4.7614, il_lam=0.0567, il_q=8, il_seed=0.974, il_sim=0.272, il_conn=0.000, il_dist=0.000, il_high=0.772, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.085, il_neg_dist=0.000, il_neg_high=0.447, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.0360, total 64.8938
(T) | Epoch=028, loss=7.1495, con=6.6380, intent=2.4591, rec=0.0001, ilssc=4.7260, il_lam=0.0600, il_q=8, il_seed=0.976, il_sim=0.277, il_conn=0.000, il_dist=0.000, il_high=0.782, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.067, il_neg_dist=0.000, il_neg_high=0.454, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.5804, total 67.4742
(T) | Epoch=029, loss=7.1550, con=6.6376, intent=2.4535, rec=0.0001, ilssc=4.5778, il_lam=0.0633, il_q=8, il_seed=0.977, il_sim=0.298, il_conn=0.000, il_dist=0.000, il_high=0.740, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.078, il_neg_dist=0.000, il_neg_high=0.416, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.0584, total 70.5326
(T) | Epoch=030, loss=7.1761, con=6.6338, intent=2.4528, rec=0.0001, ilssc=4.7231, il_lam=0.0667, il_q=8, il_seed=0.976, il_sim=0.286, il_conn=0.000, il_dist=0.000, il_high=0.760, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.098, il_neg_dist=0.000, il_neg_high=0.399, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.0900, total 73.6225  alpha=[apa:0.155, apcpa:0.450, aptpa:0.395]
(T) | Epoch=031, loss=7.1796, con=6.6306, intent=2.4480, rec=0.0001, ilssc=4.6007, il_lam=0.0700, il_q=8, il_seed=0.980, il_sim=0.303, il_conn=0.000, il_dist=0.000, il_high=0.750, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.068, il_neg_dist=0.000, il_neg_high=0.451, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7303, total 76.3528
(T) | Epoch=032, loss=7.2002, con=6.6301, intent=2.4467, rec=0.0001, ilssc=4.6821, il_lam=0.0733, il_q=8, il_seed=0.977, il_sim=0.278, il_conn=0.000, il_dist=0.000, il_high=0.782, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.073, il_neg_dist=0.000, il_neg_high=0.417, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.5585, total 78.9114
(T) | Epoch=033, loss=7.2037, con=6.6294, intent=2.4474, rec=0.0001, ilssc=4.5333, il_lam=0.0767, il_q=8, il_seed=0.978, il_sim=0.347, il_conn=0.001, il_dist=0.000, il_high=0.773, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.067, il_neg_dist=0.000, il_neg_high=0.434, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.1880, total 82.0994
(T) | Epoch=034, loss=7.2264, con=6.6250, intent=2.4427, rec=0.0001, ilssc=4.6911, il_lam=0.0800, il_q=8, il_seed=0.979, il_sim=0.270, il_conn=0.001, il_dist=0.000, il_high=0.772, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.073, il_neg_dist=0.000, il_neg_high=0.418, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.8213, total 84.9207
(T) | Epoch=035, loss=7.2326, con=6.6200, intent=2.4436, rec=0.0001, ilssc=4.6370, il_lam=0.0833, il_q=8, il_seed=0.979, il_sim=0.298, il_conn=0.000, il_dist=0.000, il_high=0.722, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.079, il_neg_dist=0.000, il_neg_high=0.429, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.5798, total 87.5005
(T) | Epoch=036, loss=7.2509, con=6.6191, intent=2.4359, rec=0.0001, ilssc=4.6907, il_lam=0.0867, il_q=8, il_seed=0.982, il_sim=0.281, il_conn=0.000, il_dist=0.000, il_high=0.762, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.068, il_neg_dist=0.000, il_neg_high=0.450, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.1807, total 90.6812
(T) | Epoch=037, loss=7.2729, con=6.6216, intent=2.4337, rec=0.0001, ilssc=4.7357, il_lam=0.0900, il_q=8, il_seed=0.982, il_sim=0.253, il_conn=0.000, il_dist=0.000, il_high=0.803, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.054, il_neg_dist=0.000, il_neg_high=0.469, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.3425, total 93.0237
(T) | Epoch=038, loss=7.2940, con=6.6227, intent=2.4320, rec=0.0001, ilssc=4.7840, il_lam=0.0933, il_q=8, il_seed=0.982, il_sim=0.259, il_conn=0.000, il_dist=0.000, il_high=0.780, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.076, il_neg_dist=0.000, il_neg_high=0.445, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.1233, total 96.1470
(T) | Epoch=039, loss=7.2901, con=6.6192, intent=2.4305, rec=0.0001, ilssc=4.6165, il_lam=0.0967, il_q=8, il_seed=0.982, il_sim=0.302, il_conn=0.000, il_dist=0.000, il_high=0.776, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.065, il_neg_dist=0.000, il_neg_high=0.433, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9511, total 99.0981
(T) | Epoch=040, loss=7.3026, con=6.6147, intent=2.4305, rec=0.0002, ilssc=4.6341, il_lam=0.1000, il_q=8, il_seed=0.981, il_sim=0.297, il_conn=0.000, il_dist=0.000, il_high=0.799, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.060, il_neg_dist=0.000, il_neg_high=0.461, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.8392, total 101.9373  alpha=[apa:0.168, apcpa:0.424, aptpa:0.407]
(T) | Epoch=041, loss=7.3040, con=6.6141, intent=2.4309, rec=0.0001, ilssc=4.6533, il_lam=0.1000, il_q=8, il_seed=0.982, il_sim=0.280, il_conn=0.000, il_dist=0.000, il_high=0.731, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.061, il_neg_dist=0.000, il_neg_high=0.447, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.8623, total 104.7996
(T) | Epoch=042, loss=7.2906, con=6.6170, intent=2.4282, rec=0.0001, ilssc=4.4935, il_lam=0.1000, il_q=8, il_seed=0.980, il_sim=0.316, il_conn=0.001, il_dist=0.000, il_high=0.687, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.080, il_neg_dist=0.000, il_neg_high=0.345, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7823, total 107.5820
(T) | Epoch=043, loss=7.2798, con=6.6190, intent=2.4268, rec=0.0002, ilssc=4.3680, il_lam=0.1000, il_q=8, il_seed=0.981, il_sim=0.378, il_conn=0.000, il_dist=0.000, il_high=0.777, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.072, il_neg_dist=0.000, il_neg_high=0.431, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7989, total 110.3808
(T) | Epoch=044, loss=7.3040, con=6.6171, intent=2.4222, rec=0.0003, ilssc=4.6341, il_lam=0.1000, il_q=8, il_seed=0.982, il_sim=0.317, il_conn=0.001, il_dist=0.000, il_high=0.709, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.074, il_neg_dist=0.000, il_neg_high=0.401, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.9388, total 113.3196
(T) | Epoch=045, loss=7.3096, con=6.6143, intent=2.4199, rec=0.0003, ilssc=4.7216, il_lam=0.1000, il_q=8, il_seed=0.983, il_sim=0.263, il_conn=0.000, il_dist=0.000, il_high=0.772, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.057, il_neg_dist=0.000, il_neg_high=0.433, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7832, total 116.1028
(T) | Epoch=046, loss=7.2825, con=6.6135, intent=2.4213, rec=0.0003, ilssc=4.4570, il_lam=0.1000, il_q=8, il_seed=0.984, il_sim=0.352, il_conn=0.000, il_dist=0.000, il_high=0.745, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.057, il_neg_dist=0.000, il_neg_high=0.466, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7786, total 118.8814
(T) | Epoch=047, loss=7.2858, con=6.6131, intent=2.4155, rec=0.0004, ilssc=4.4999, il_lam=0.1000, il_q=8, il_seed=0.986, il_sim=0.337, il_conn=0.000, il_dist=0.000, il_high=0.806, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.044, il_neg_dist=0.000, il_neg_high=0.483, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7892, total 121.6706
(T) | Epoch=048, loss=7.3039, con=6.6108, intent=2.4171, rec=0.0004, ilssc=4.7027, il_lam=0.1000, il_q=8, il_seed=0.983, il_sim=0.310, il_conn=0.000, il_dist=0.000, il_high=0.743, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.095, il_neg_dist=0.000, il_neg_high=0.381, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7378, total 124.4084
(T) | Epoch=049, loss=7.2773, con=6.6060, intent=2.4105, rec=0.0004, ilssc=4.4932, il_lam=0.1000, il_q=8, il_seed=0.986, il_sim=0.327, il_conn=0.000, il_dist=0.000, il_high=0.765, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.056, il_neg_dist=0.000, il_neg_high=0.410, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.6482, total 127.0566
(T) | Epoch=050, loss=7.2822, con=6.6033, intent=2.4103, rec=0.0005, ilssc=4.5708, il_lam=0.1000, il_q=8, il_seed=0.988, il_sim=0.334, il_conn=0.000, il_dist=0.000, il_high=0.788, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.061, il_neg_dist=0.000, il_neg_high=0.470, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.1005, total 130.1570  alpha=[apa:0.187, apcpa:0.421, aptpa:0.392]
(T) | Epoch=051, loss=7.2919, con=6.6040, intent=2.4076, rec=0.0006, ilssc=4.6633, il_lam=0.1000, il_q=8, il_seed=0.985, il_sim=0.308, il_conn=0.000, il_dist=0.000, il_high=0.780, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.074, il_neg_dist=0.000, il_neg_high=0.420, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.8598, total 133.0168
(T) | Epoch=052, loss=7.2944, con=6.6071, intent=2.4062, rec=0.0006, ilssc=4.6595, il_lam=0.1000, il_q=8, il_seed=0.987, il_sim=0.300, il_conn=0.001, il_dist=0.000, il_high=0.781, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.058, il_neg_dist=0.000, il_neg_high=0.392, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.5332, total 135.5500
(T) | Epoch=053, loss=7.2730, con=6.6083, intent=2.4054, rec=0.0006, ilssc=4.4347, il_lam=0.1000, il_q=8, il_seed=0.987, il_sim=0.352, il_conn=0.000, il_dist=0.000, il_high=0.817, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.042, il_neg_dist=0.000, il_neg_high=0.449, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.6211, total 138.1712
