[log] 运行日志写入: log\run_ACM_20260715_065156.log
Using CPU
Using CPU
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
[ckpt] 从 checkpoints\ckpt_ACM_hii.pt 恢复, 已完成 200 轮, 从第 201 轮继续
[AC] 训练 Actor-Critic 对抗图生成器 (100 轮)...
[AC] 开始训练 2026-07-15 06:52:04
[AC] Epoch=001, avg_return=314.5446, loss=2604.9914, this epoch 13.86s, total 13.86s
[AC] Epoch=002, avg_return=495.2979, loss=4354.4695, this epoch 19.65s, total 33.51s
[AC] Epoch=003, avg_return=585.1244, loss=5039.9960, this epoch 21.03s, total 54.54s
[AC] Epoch=004, avg_return=756.7509, loss=6540.4395, this epoch 21.99s, total 76.54s
[AC] Epoch=005, avg_return=632.8087, loss=5131.9784, this epoch 16.74s, total 93.28s
[AC] Epoch=006, avg_return=692.1605, loss=5658.6278, this epoch 19.32s, total 112.60s
[AC] Epoch=007, avg_return=698.3829, loss=5424.6454, this epoch 26.81s, total 139.41s
[AC] Epoch=008, avg_return=792.1777, loss=5875.7380, this epoch 17.07s, total 156.48s
[AC] Epoch=009, avg_return=882.2941, loss=6760.5916, this epoch 17.00s, total 173.48s
[AC] Epoch=010, avg_return=735.3305, loss=5418.7600, this epoch 15.47s, total 188.95s
[AC] Epoch=011, avg_return=980.9515, loss=7161.0954, this epoch 21.25s, total 210.20s
[AC] Epoch=012, avg_return=871.9158, loss=6360.7010, this epoch 18.78s, total 228.98s
[AC] Epoch=013, avg_return=915.7445, loss=6345.0135, this epoch 18.32s, total 247.31s
[AC] Epoch=014, avg_return=1000.1649, loss=6562.7952, this epoch 20.25s, total 267.56s
[AC] Epoch=015, avg_return=959.1139, loss=6085.1294, this epoch 18.81s, total 286.36s
[AC] Epoch=016, avg_return=976.5649, loss=6815.1834, this epoch 18.00s, total 304.36s
[AC] Epoch=017, avg_return=1101.6014, loss=6941.6520, this epoch 23.07s, total 327.43s
[AC] Epoch=018, avg_return=993.0522, loss=5874.7730, this epoch 20.57s, total 348.00s
[AC] Epoch=019, avg_return=1297.5135, loss=8460.4653, this epoch 21.82s, total 369.82s
[AC] Epoch=020, avg_return=1051.4855, loss=5746.6330, this epoch 21.83s, total 391.65s
[AC] Epoch=021, avg_return=1223.6724, loss=6967.4580, this epoch 23.73s, total 415.38s
[AC] Epoch=022, avg_return=1110.7130, loss=5725.0708, this epoch 21.90s, total 437.28s
[AC] Epoch=023, avg_return=1246.2120, loss=7032.4753, this epoch 23.33s, total 460.62s
[AC] Epoch=024, avg_return=1293.6192, loss=6255.5841, this epoch 23.54s, total 484.16s
[AC] Epoch=025, avg_return=1248.7823, loss=6581.3516, this epoch 23.30s, total 507.47s
[AC] Epoch=026, avg_return=1313.4148, loss=7324.9825, this epoch 21.28s, total 528.74s
[AC] Epoch=027, avg_return=1174.7005, loss=5380.7035, this epoch 16.94s, total 545.68s
[AC] Epoch=028, avg_return=1330.2694, loss=5989.3086, this epoch 20.68s, total 566.37s
[AC] Epoch=029, avg_return=1209.8758, loss=4803.8217, this epoch 18.72s, total 585.09s
[AC] Epoch=030, avg_return=1095.0731, loss=3132.7710, this epoch 20.98s, total 606.06s
[AC] Epoch=031, avg_return=1338.8574, loss=5878.0213, this epoch 19.41s, total 625.47s
[AC] Epoch=032, avg_return=1144.9398, loss=3414.6382, this epoch 18.99s, total 644.46s
[AC] Epoch=033, avg_return=1164.0580, loss=3600.2422, this epoch 16.28s, total 660.75s
[AC] Epoch=034, avg_return=1163.4269, loss=3190.5780, this epoch 18.60s, total 679.35s
[AC] Epoch=035, avg_return=1213.7382, loss=3832.8568, this epoch 18.52s, total 697.87s
[AC] Epoch=036, avg_return=1388.6612, loss=5004.3074, this epoch 17.92s, total 715.79s
[AC] Epoch=037, avg_return=1231.9218, loss=3442.4300, this epoch 19.58s, total 735.37s
[AC] Epoch=038, avg_return=1237.8385, loss=2797.0421, this epoch 20.06s, total 755.43s
[AC] Epoch=039, avg_return=1093.8733, loss=1963.5424, this epoch 17.70s, total 773.13s
[AC] Epoch=040, avg_return=1185.0697, loss=2689.5313, this epoch 18.86s, total 791.99s
[AC] Epoch=041, avg_return=1191.1734, loss=2635.2182, this epoch 18.47s, total 810.47s
[AC] Epoch=042, avg_return=1223.6160, loss=2847.7101, this epoch 20.16s, total 830.62s
[AC] Epoch=043, avg_return=1287.4653, loss=2551.1491, this epoch 19.32s, total 849.94s
[AC] Epoch=044, avg_return=1362.6917, loss=2853.5880, this epoch 19.44s, total 869.38s
