[log] 运行日志写入: log/run_ACM_20260805_144906.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 relation_fusion=transformer cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] pap.npz: 57853 -> 30852 edges (avg_deg 14 -> 8, top-k=10)
  [sparsify] psp.npz: 4338213 -> 75790 edges (avg_deg 1079 -> 19, top-k=10)
[data] 多关系 R=2: pap(30852 edges), psp(75790 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+TRANSFORMER  R=2 hii_heads=1 icra_heads=1 icra_dim=64
(T) | Epoch=041, loss=7.7897, con=7.5473, intent=2.4621, rec=0.0086, this epoch 0.7544, total 29.3246
(T) | Epoch=042, loss=7.7937, con=7.5487, intent=2.4637, rec=0.0084, this epoch 0.6981, total 30.0227
(T) | Epoch=043, loss=7.8663, con=7.6195, intent=2.4639, rec=0.0100, this epoch 0.7002, total 30.7229
(T) | Epoch=044, loss=7.8664, con=7.6182, intent=2.4655, rec=0.0118, this epoch 0.6993, total 31.4222
(T) | Epoch=045, loss=7.8470, con=7.5983, intent=2.4660, rec=0.0105, this epoch 0.6996, total 32.1218
(T) | Epoch=046, loss=7.8459, con=7.5968, intent=2.4658, rec=0.0125, this epoch 0.6996, total 32.8214
(T) | Epoch=047, loss=7.8377, con=7.5889, intent=2.4643, rec=0.0094, this epoch 0.7024, total 33.5239
(T) | Epoch=048, loss=7.8318, con=7.5832, intent=2.4614, rec=0.0108, this epoch 0.7013, total 34.2252
(T) | Epoch=049, loss=7.8410, con=7.5929, intent=2.4591, rec=0.0087, this epoch 0.6994, total 34.9245
(T) | Epoch=050, loss=7.8114, con=7.5632, intent=2.4575, rec=0.0091, this epoch 0.6998, total 35.6244  alpha=[pap:1.000, psp:0.000]
(T) | Epoch=051, loss=7.7135, con=7.4651, intent=2.4574, rec=0.0103, this epoch 0.6997, total 36.3241
(T) | Epoch=052, loss=7.6451, con=7.3969, intent=2.4560, rec=0.0115, this epoch 0.6970, total 37.0211
(T) | Epoch=053, loss=7.7103, con=7.4625, intent=2.4544, rec=0.0134, this epoch 0.6982, total 37.7193
(T) | Epoch=054, loss=7.8011, con=7.5533, intent=2.4535, rec=0.0147, this epoch 0.6978, total 38.4171
(T) | Epoch=055, loss=7.8131, con=7.5661, intent=2.4512, rec=0.0108, this epoch 0.6996, total 39.1168
(T) | Epoch=056, loss=7.7366, con=7.4896, intent=2.4479, rec=0.0137, this epoch 0.7007, total 39.8174
(T) | Epoch=057, loss=7.6545, con=7.4081, intent=2.4435, rec=0.0117, this epoch 0.6994, total 40.5169
(T) | Epoch=058, loss=7.6552, con=7.4083, intent=2.4413, rec=0.0146, this epoch 0.7051, total 41.2220
(T) | Epoch=059, loss=7.6997, con=7.4523, intent=2.4389, rec=0.0153, this epoch 0.7002, total 41.9222
(T) | Epoch=060, loss=7.7482, con=7.5007, intent=2.4372, rec=0.0127, this epoch 0.6981, total 42.6203  alpha=[pap:1.000, psp:0.000]
(T) | Epoch=061, loss=7.7452, con=7.4976, intent=2.4349, rec=0.0169, this epoch 0.7557, total 43.3759
(T) | Epoch=062, loss=7.6380, con=7.3912, intent=2.4326, rec=0.0145, this epoch 0.6985, total 44.0744
(T) | Epoch=063, loss=7.5725, con=7.3261, intent=2.4292, rec=0.0177, this epoch 0.7001, total 44.7744
(T) | Epoch=064, loss=7.6589, con=7.4130, intent=2.4278, rec=0.0198, this epoch 0.6980, total 45.4724
(T) | Epoch=065, loss=7.7266, con=7.4803, intent=2.4281, rec=0.0252, this epoch 0.6990, total 46.1715
(T) | Epoch=066, loss=7.6588, con=7.4113, intent=2.4296, rec=0.0345, this epoch 0.7005, total 46.8720
(T) | Epoch=067, loss=7.6802, con=7.4329, intent=2.4314, rec=0.0249, this epoch 0.7000, total 47.5720
