[log] 运行日志写入: log\run_ACM_20260715_152257.log
Using CPU
Using CPU
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
[ckpt] 从 checkpoints\ckpt_ACM_hii.pt 恢复, 已完成 200 轮, 从第 201 轮继续
[AC] 训练 Actor-Critic 对抗图生成器 (100 轮)...
[AC] 开始训练 2026-07-15 15:23:04
[AC] Epoch=059, avg_return=7520.0791, loss=8543.7772, this epoch 446.59s, total 25176.41s
[AC] Epoch=060, avg_return=7755.2630, loss=10080.3408, this epoch 437.57s, total 25613.99s
[AC] Epoch=061, avg_return=7879.7883, loss=10585.6253, this epoch 442.66s, total 26056.65s
[AC] Epoch=062, avg_return=7401.5306, loss=8210.8482, this epoch 446.70s, total 26503.35s
[AC] Epoch=063, avg_return=7677.5920, loss=8709.5093, this epoch 448.98s, total 26952.33s
[AC] Epoch=064, avg_return=7919.8838, loss=11644.2649, this epoch 434.90s, total 27387.23s
[AC] Epoch=065, avg_return=7769.7838, loss=9686.2328, this epoch 446.39s, total 27833.63s
[AC] Epoch=066, avg_return=7676.5692, loss=8768.7182, this epoch 437.98s, total 28271.60s
[AC] Epoch=067, avg_return=7812.5591, loss=9302.1209, this epoch 441.17s, total 28712.77s
[AC] Epoch=068, avg_return=7638.3372, loss=9361.0721, this epoch 451.21s, total 29163.98s
[AC] Epoch=069, avg_return=7417.1653, loss=6963.1591, this epoch 453.60s, total 29617.58s
[AC] Epoch=070, avg_return=7592.8003, loss=8218.0173, this epoch 446.39s, total 30063.97s
[AC] Epoch=071, avg_return=7548.3521, loss=8866.5882, this epoch 452.61s, total 30516.58s
[AC] Epoch=072, avg_return=7635.3055, loss=8943.5743, this epoch 443.91s, total 30960.49s
[AC] Epoch=073, avg_return=7229.0941, loss=5823.2477, this epoch 449.75s, total 31410.23s
[AC] Epoch=074, avg_return=7662.7613, loss=8636.8579, this epoch 454.26s, total 31864.49s
[AC] Epoch=075, avg_return=7192.8796, loss=5409.9837, this epoch 437.64s, total 32302.13s
[AC] Epoch=076, avg_return=7422.3009, loss=6731.6604, this epoch 453.27s, total 32755.40s
[AC] Epoch=077, avg_return=7783.9615, loss=8461.4248, this epoch 449.96s, total 33205.37s
[AC] Epoch=078, avg_return=7505.3407, loss=6899.2960, this epoch 448.70s, total 33654.07s
[AC] Epoch=079, avg_return=7555.0619, loss=8444.4291, this epoch 447.74s, total 34101.81s
[AC] Epoch=080, avg_return=7928.2772, loss=8166.1429, this epoch 447.85s, total 34549.66s
[AC] Epoch=081, avg_return=7263.3078, loss=5875.3302, this epoch 453.15s, total 35002.81s
[AC] Epoch=082, avg_return=7857.0143, loss=8956.3611, this epoch 451.46s, total 35454.28s
[AC] Epoch=083, avg_return=7802.9016, loss=7736.2108, this epoch 452.24s, total 35906.51s
[AC] Epoch=084, avg_return=7616.1011, loss=6273.8497, this epoch 451.06s, total 36357.58s
[AC] Epoch=085, avg_return=7959.1441, loss=7435.7421, this epoch 439.37s, total 36796.95s
[AC] Epoch=086, avg_return=7412.5268, loss=5189.6207, this epoch 461.93s, total 37258.88s
[AC] Epoch=087, avg_return=7634.9431, loss=6875.4912, this epoch 459.55s, total 37718.42s
[AC] Epoch=088, avg_return=7647.4921, loss=7138.0970, this epoch 463.26s, total 38181.69s
[AC] Epoch=089, avg_return=7454.0005, loss=6464.0920, this epoch 444.33s, total 38626.02s
[AC] Epoch=090, avg_return=7524.0016, loss=6115.2402, this epoch 413.33s, total 39039.35s
[AC] Epoch=091, avg_return=7689.5495, loss=6410.2152, this epoch 398.29s, total 39437.63s
[AC] Epoch=092, avg_return=7644.4332, loss=6848.7918, this epoch 391.71s, total 39829.35s
[AC] Epoch=093, avg_return=7447.0871, loss=5358.8446, this epoch 400.10s, total 40229.44s
[AC] Epoch=094, avg_return=8057.8613, loss=7507.6488, this epoch 392.75s, total 40622.19s
[AC] Epoch=095, avg_return=6996.5795, loss=4436.3157, this epoch 405.25s, total 41027.44s
[AC] Epoch=096, avg_return=7629.4958, loss=5968.2459, this epoch 397.19s, total 41424.64s
[AC] Epoch=097, avg_return=7612.2661, loss=6287.3119, this epoch 399.48s, total 41824.12s
[AC] Epoch=098, avg_return=7531.5025, loss=5874.2737, this epoch 391.50s, total 42215.62s
[AC] Epoch=099, avg_return=7643.7985, loss=7435.8653, this epoch 402.53s, total 42618.15s
[AC] Epoch=100, avg_return=7360.7829, loss=6238.2708, this epoch 401.05s, total 43019.20s
[AC] 结束训练 2026-07-16 03:20:04 总耗时 43019.20s
