[log] 运行日志写入: log\run_ACM_20260714_191946.log
Using CPU
Using CPU
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
(T) | Epoch=001, loss=10.8031, con=8.2104, intent=4.9814, rec=0.0015, this epoch 260.0387, total 260.0387  alpha=[pap:0.490, psp:0.510]
(T) | Epoch=002, loss=9.9406, con=8.5715, intent=3.6807, rec=0.0016, this epoch 265.9000, total 525.9386
(T) | Epoch=003, loss=9.3639, con=8.3907, intent=3.0176, rec=0.0012, this epoch 180.0175, total 705.9561
(T) | Epoch=004, loss=9.1896, con=8.3528, intent=2.7191, rec=0.0029, this epoch 167.4703, total 873.4265
(T) | Epoch=005, loss=9.0217, con=8.2309, intent=2.6059, rec=0.0027, this epoch 174.3774, total 1047.8039
(T) | Epoch=006, loss=8.8802, con=8.0844, intent=2.5917, rec=0.0044, this epoch 159.0904, total 1206.8943
(T) | Epoch=007, loss=8.6070, con=7.7893, intent=2.6101, rec=0.0062, this epoch 154.3719, total 1361.2661
(T) | Epoch=008, loss=8.5284, con=7.7005, intent=2.6088, rec=0.0089, this epoch 149.4052, total 1510.6713
(T) | Epoch=009, loss=8.5994, con=7.7446, intent=2.6233, rec=0.0100, this epoch 163.9358, total 1674.6071
(T) | Epoch=010, loss=8.5420, con=7.6764, intent=2.5950, rec=0.0126, this epoch 151.8378, total 1826.4449  alpha=[pap:0.607, psp:0.393]
(T) | Epoch=011, loss=8.4654, con=7.5864, intent=2.5879, rec=0.0134, this epoch 159.3004, total 1985.7453
(T) | Epoch=012, loss=8.3799, con=7.4874, intent=2.5931, rec=0.0144, this epoch 154.4302, total 2140.1755
(T) | Epoch=013, loss=8.3127, con=7.4130, intent=2.5847, rec=0.0136, this epoch 154.1891, total 2294.3646
(T) | Epoch=014, loss=8.2484, con=7.3510, intent=2.5533, rec=0.0153, this epoch 154.1347, total 2448.4993
(T) | Epoch=015, loss=8.2438, con=7.3462, intent=2.5363, rec=0.0148, this epoch 151.9847, total 2600.4840
(T) | Epoch=016, loss=8.1433, con=7.2400, intent=2.5323, rec=0.0168, this epoch 151.2718, total 2751.7559
(T) | Epoch=017, loss=8.0429, con=7.1319, intent=2.5344, rec=0.0115, this epoch 152.6336, total 2904.3895
(T) | Epoch=018, loss=8.0279, con=7.1140, intent=2.5300, rec=0.0082, this epoch 151.3836, total 3055.7730
(T) | Epoch=019, loss=8.0125, con=7.0994, intent=2.5216, rec=0.0076, this epoch 149.0963, total 3204.8693
(T) | Epoch=020, loss=7.9908, con=7.0783, intent=2.5172, rec=0.0092, this epoch 149.0311, total 3353.9004  alpha=[pap:0.712, psp:0.288]
(T) | Epoch=021, loss=8.0226, con=7.1095, intent=2.5112, rec=0.0092, this epoch 155.7080, total 3509.6084
(T) | Epoch=022, loss=7.9997, con=7.0849, intent=2.5018, rec=0.0065, this epoch 154.7515, total 3664.3598
(T) | Epoch=023, loss=7.9716, con=7.0570, intent=2.4902, rec=0.0088, this epoch 149.0309, total 3813.3907
(T) | Epoch=024, loss=7.9933, con=7.0832, intent=2.4825, rec=0.0079, this epoch 149.5218, total 3962.9126
(T) | Epoch=025, loss=7.9895, con=7.0834, intent=2.4810, rec=0.0084, this epoch 152.2209, total 4115.1335
(T) | Epoch=026, loss=7.9586, con=7.0522, intent=2.4850, rec=0.0072, this epoch 148.8046, total 4263.9381
(T) | Epoch=027, loss=7.9773, con=7.0706, intent=2.4855, rec=0.0077, this epoch 150.2959, total 4414.2340
(T) | Epoch=028, loss=8.0068, con=7.1029, intent=2.4834, rec=0.0077, this epoch 147.1433, total 4561.3773
(T) | Epoch=029, loss=8.0082, con=7.1099, intent=2.4779, rec=0.0084, this epoch 152.6067, total 4713.9840
(T) | Epoch=030, loss=7.9808, con=7.0876, intent=2.4689, rec=0.0083, this epoch 150.4213, total 4864.4053  alpha=[pap:0.787, psp:0.213]
(T) | Epoch=031, loss=7.9584, con=7.0668, intent=2.4626, rec=0.0103, this epoch 152.0251, total 5016.4304
(T) | Epoch=032, loss=7.9559, con=7.0638, intent=2.4597, rec=0.0093, this epoch 148.9437, total 5165.3740
(T) | Epoch=033, loss=7.9572, con=7.0670, intent=2.4573, rec=0.0080, this epoch 150.6764, total 5316.0504
