[log] 运行日志写入: log/run_ACM_20260805_125419.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.003 ic_spnm_pos=40 ic_spnm_neg=128 ic_spnm_hard_pool=1024 ic_spnm_pos_mode=mix ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] pap.npz: 57853 -> 30852 edges (avg_deg 14 -> 8, top-k=10)
  [sparsify] psp.npz: 4338213 -> 75790 edges (avg_deg 1079 -> 19, top-k=10)
[data] 多关系 R=2: pap(30852 edges), psp(75790 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=1 icra_heads=1 icra_dim=64
[IC-SPNM] 全量图邻接表就绪, lambda=0.003, pos=40 neg=128 B=4 pool=1024 pos_mode=mix frontier_ratio=0.5 frontier_hops=2 frontier_pool=128 intent_beta=1.5 struct_beta=1.0 susp_alpha=0.0
(T) | Epoch=017, loss=7.4908, con=7.2296, intent=2.5910, rec=0.0145, ic_spnm=5.0458, ic_q=4, ic_pos=0.946, ic_neg=0.326, ic_frontier=0.08, ic_hop=1.08, ic_pos_std=0.005, ic_uniq=36.0, this epoch 0.7594, total 15.7060
(T) | Epoch=018, loss=7.5146, con=7.2533, intent=2.5755, rec=0.0150, ic_spnm=5.0930, ic_q=4, ic_pos=0.951, ic_neg=0.303, ic_frontier=0.19, ic_hop=1.19, ic_pos_std=0.005, ic_uniq=39.2, this epoch 0.7592, total 16.4652
(T) | Epoch=019, loss=7.5155, con=7.2551, intent=2.5617, rec=0.0136, ic_spnm=5.0533, ic_q=4, ic_pos=0.954, ic_neg=0.366, ic_frontier=0.18, ic_hop=1.18, ic_pos_std=0.005, ic_uniq=36.8, this epoch 0.7456, total 17.2108
(T) | Epoch=020, loss=7.4889, con=7.2294, intent=2.5508, rec=0.0125, ic_spnm=5.0410, ic_q=4, ic_pos=0.956, ic_neg=0.325, ic_frontier=0.31, ic_hop=1.31, ic_pos_std=0.005, ic_uniq=37.2, this epoch 0.7411, total 17.9519  alpha=[pap:0.664, psp:0.336]
(T) | Epoch=021, loss=7.4291, con=7.1700, intent=2.5400, rec=0.0125, ic_spnm=5.0858, ic_q=4, ic_pos=0.960, ic_neg=0.339, ic_frontier=0.21, ic_hop=1.21, ic_pos_std=0.004, ic_uniq=37.8, this epoch 0.8134, total 18.7653
(T) | Epoch=022, loss=7.4561, con=7.1981, intent=2.5283, rec=0.0134, ic_spnm=4.9918, ic_q=4, ic_pos=0.963, ic_neg=0.316, ic_frontier=0.36, ic_hop=1.36, ic_pos_std=0.003, ic_uniq=32.8, this epoch 0.7510, total 19.5162
(T) | Epoch=023, loss=7.5090, con=7.2522, intent=2.5188, rec=0.0112, ic_spnm=5.1187, ic_q=4, ic_pos=0.967, ic_neg=0.340, ic_frontier=0.18, ic_hop=1.18, ic_pos_std=0.003, ic_uniq=39.2, this epoch 0.7651, total 20.2813
(T) | Epoch=024, loss=7.4809, con=7.2252, intent=2.5114, rec=0.0123, ic_spnm=5.0552, ic_q=4, ic_pos=0.970, ic_neg=0.324, ic_frontier=0.14, ic_hop=1.14, ic_pos_std=0.003, ic_uniq=38.5, this epoch 0.7902, total 21.0715
(T) | Epoch=025, loss=7.4204, con=7.1649, intent=2.5078, rec=0.0122, ic_spnm=5.1155, ic_q=4, ic_pos=0.970, ic_neg=0.378, ic_frontier=0.39, ic_hop=1.39, ic_pos_std=0.004, ic_uniq=39.5, this epoch 0.7557, total 21.8272
(T) | Epoch=026, loss=7.4537, con=7.1983, intent=2.5017, rec=0.0116, ic_spnm=5.0896, ic_q=4, ic_pos=0.971, ic_neg=0.312, ic_frontier=0.39, ic_hop=1.39, ic_pos_std=0.004, ic_uniq=33.2, this epoch 0.7375, total 22.5647
(T) | Epoch=027, loss=7.4792, con=7.2236, intent=2.4960, rec=0.0122, ic_spnm=4.9546, ic_q=4, ic_pos=0.974, ic_neg=0.362, ic_frontier=0.11, ic_hop=1.11, ic_pos_std=0.003, ic_uniq=37.0, this epoch 0.7536, total 23.3183
(T) | Epoch=028, loss=7.4665, con=7.2099, intent=2.4908, rec=0.0124, ic_spnm=4.9957, ic_q=4, ic_pos=0.976, ic_neg=0.330, ic_frontier=0.03, ic_hop=1.03, ic_pos_std=0.002, ic_uniq=38.2, this epoch 0.7651, total 24.0834
(T) | Epoch=029, loss=7.4288, con=7.1722, intent=2.4842, rec=0.0116, ic_spnm=5.1199, ic_q=4, ic_pos=0.978, ic_neg=0.356, ic_frontier=0.31, ic_hop=1.31, ic_pos_std=0.003, ic_uniq=39.2, this epoch 0.7659, total 24.8493
(T) | Epoch=030, loss=7.4070, con=7.1514, intent=2.4774, rec=0.0119, ic_spnm=5.0162, ic_q=4, ic_pos=0.979, ic_neg=0.317, ic_frontier=0.15, ic_hop=1.15, ic_pos_std=0.003, ic_uniq=35.8, this epoch 0.7437, total 25.5930  alpha=[pap:0.774, psp:0.226]
(T) | Epoch=031, loss=7.4187, con=7.1631, intent=2.4730, rec=0.0111, ic_spnm=5.0989, ic_q=4, ic_pos=0.980, ic_neg=0.411, ic_frontier=0.31, ic_hop=1.31, ic_pos_std=0.003, ic_uniq=39.5, this epoch 0.7577, total 26.3507
(T) | Epoch=032, loss=7.4454, con=7.1889, intent=2.4717, rec=0.0111, ic_spnm=5.1561, ic_q=4, ic_pos=0.981, ic_neg=0.307, ic_frontier=0.13, ic_hop=1.13, ic_pos_std=0.002, ic_uniq=36.8, this epoch 0.7716, total 27.1223
(T) | Epoch=033, loss=7.5175, con=7.2607, intent=2.4721, rec=0.0107, ic_spnm=5.0763, ic_q=3, ic_pos=0.982, ic_neg=0.365, ic_frontier=0.04, ic_hop=1.04, ic_pos_std=0.002, ic_uniq=36.0, this epoch 0.7354, total 27.8577
(T) | Epoch=034, loss=7.5693, con=7.3127, intent=2.4712, rec=0.0112, ic_spnm=5.1678, ic_q=4, ic_pos=0.981, ic_neg=0.338, ic_frontier=0.04, ic_hop=1.04, ic_pos_std=0.003, ic_uniq=38.5, this epoch 0.7968, total 28.6546
(T) | Epoch=035, loss=7.5686, con=7.3137, intent=2.4680, rec=0.0112, ic_spnm=5.1544, ic_q=4, ic_pos=0.981, ic_neg=0.359, ic_frontier=0.27, ic_hop=1.27, ic_pos_std=0.003, ic_uniq=39.0, this epoch 0.7677, total 29.4223
(T) | Epoch=036, loss=7.5639, con=7.3110, intent=2.4641, rec=0.0098, ic_spnm=5.1698, ic_q=4, ic_pos=0.982, ic_neg=0.355, ic_frontier=0.17, ic_hop=1.17, ic_pos_std=0.002, ic_uniq=38.8, this epoch 0.7603, total 30.1826
(T) | Epoch=037, loss=7.5584, con=7.3067, intent=2.4602, rec=0.0087, ic_spnm=5.2264, ic_q=4, ic_pos=0.983, ic_neg=0.420, ic_frontier=0.26, ic_hop=1.26, ic_pos_std=0.002, ic_uniq=38.8, this epoch 0.7614, total 30.9440
(T) | Epoch=038, loss=7.5260, con=7.2755, intent=2.4573, rec=0.0078, ic_spnm=5.0464, ic_q=4, ic_pos=0.982, ic_neg=0.386, ic_frontier=0.39, ic_hop=1.39, ic_pos_std=0.002, ic_uniq=40.0, this epoch 0.7353, total 31.6793
(T) | Epoch=039, loss=7.4960, con=7.2460, intent=2.4550, rec=0.0074, ic_spnm=4.9838, ic_q=4, ic_pos=0.984, ic_neg=0.346, ic_frontier=0.26, ic_hop=1.26, ic_pos_std=0.002, ic_uniq=39.5, this epoch 0.7522, total 32.4315
(T) | Epoch=040, loss=7.4999, con=7.2503, intent=2.4547, rec=0.0066, ic_spnm=4.9288, ic_q=4, ic_pos=0.984, ic_neg=0.416, ic_frontier=0.14, ic_hop=1.14, ic_pos_std=0.001, ic_uniq=38.2, this epoch 0.7449, total 33.1764  alpha=[pap:0.632, psp:0.368]
(T) | Epoch=041, loss=7.5229, con=7.2731, intent=2.4548, rec=0.0072, ic_spnm=5.0437, ic_q=4, ic_pos=0.982, ic_neg=0.375, ic_frontier=0.28, ic_hop=1.28, ic_pos_std=0.002, ic_uniq=39.0, this epoch 0.7840, total 33.9604
(T) | Epoch=042, loss=7.5537, con=7.3044, intent=2.4542, rec=0.0071, ic_spnm=4.9192, ic_q=4, ic_pos=0.983, ic_neg=0.392, ic_frontier=0.15, ic_hop=1.15, ic_pos_std=0.002, ic_uniq=37.2, this epoch 0.7534, total 34.7138
(T) | Epoch=043, loss=7.5514, con=7.3017, intent=2.4520, rec=0.0068, ic_spnm=5.1132, ic_q=4, ic_pos=0.983, ic_neg=0.398, ic_frontier=0.38, ic_hop=1.38, ic_pos_std=0.002, ic_uniq=39.8, this epoch 0.7485, total 35.4623
(T) | Epoch=044, loss=7.4538, con=7.2036, intent=2.4502, rec=0.0066, ic_spnm=5.1373, ic_q=4, ic_pos=0.984, ic_neg=0.462, ic_frontier=0.19, ic_hop=1.19, ic_pos_std=0.002, ic_uniq=39.0, this epoch 0.7795, total 36.2418
(T) | Epoch=045, loss=7.3500, con=7.0984, intent=2.4520, rec=0.0053, ic_spnm=5.1324, ic_q=4, ic_pos=0.983, ic_neg=0.380, ic_frontier=0.28, ic_hop=1.28, ic_pos_std=0.003, ic_uniq=39.5, this epoch 0.7467, total 36.9884
(T) | Epoch=046, loss=7.4339, con=7.1798, intent=2.4557, rec=0.0066, ic_spnm=5.1441, ic_q=4, ic_pos=0.982, ic_neg=0.376, ic_frontier=0.19, ic_hop=1.19, ic_pos_std=0.003, ic_uniq=39.2, this epoch 0.7693, total 37.7578
(T) | Epoch=047, loss=7.4763, con=7.2212, intent=2.4578, rec=0.0061, ic_spnm=5.1454, ic_q=4, ic_pos=0.982, ic_neg=0.372, ic_frontier=0.14, ic_hop=1.14, ic_pos_std=0.002, ic_uniq=38.5, this epoch 0.7672, total 38.5250
(T) | Epoch=048, loss=7.3661, con=7.1109, intent=2.4576, rec=0.0075, ic_spnm=5.2065, ic_q=4, ic_pos=0.981, ic_neg=0.376, ic_frontier=0.29, ic_hop=1.29, ic_pos_std=0.003, ic_uniq=39.0, this epoch 0.7610, total 39.2860
(T) | Epoch=049, loss=7.4251, con=7.1714, intent=2.4558, rec=0.0081, ic_spnm=4.9525, ic_q=4, ic_pos=0.982, ic_neg=0.379, ic_frontier=0.26, ic_hop=1.26, ic_pos_std=0.002, ic_uniq=39.0, this epoch 0.7642, total 40.0502
(T) | Epoch=050, loss=7.5820, con=7.3282, intent=2.4528, rec=0.0092, ic_spnm=5.1026, ic_q=4, ic_pos=0.983, ic_neg=0.435, ic_frontier=0.21, ic_hop=1.21, ic_pos_std=0.002, ic_uniq=37.0, this epoch 0.7624, total 40.8126  alpha=[pap:0.797, psp:0.203]
(T) | Epoch=051, loss=7.5834, con=7.3303, intent=2.4482, rec=0.0075, ic_spnm=5.1839, ic_q=4, ic_pos=0.984, ic_neg=0.392, ic_frontier=0.13, ic_hop=1.13, ic_pos_std=0.002, ic_uniq=38.8, this epoch 0.7610, total 41.5736
(T) | Epoch=052, loss=7.4778, con=7.2257, intent=2.4436, rec=0.0086, ic_spnm=5.1319, ic_q=4, ic_pos=0.984, ic_neg=0.366, ic_frontier=0.16, ic_hop=1.16, ic_pos_std=0.002, ic_uniq=39.0, this epoch 0.7668, total 42.3404
(T) | Epoch=053, loss=7.5051, con=7.2541, intent=2.4397, rec=0.0078, ic_spnm=5.1701, ic_q=4, ic_pos=0.985, ic_neg=0.353, ic_frontier=0.08, ic_hop=1.08, ic_pos_std=0.002, ic_uniq=38.8, this epoch 0.7801, total 43.1205
(T) | Epoch=054, loss=7.5741, con=7.3242, intent=2.4366, rec=0.0073, ic_spnm=4.9927, ic_q=4, ic_pos=0.986, ic_neg=0.412, ic_frontier=0.03, ic_hop=1.03, ic_pos_std=0.001, ic_uniq=38.5, this epoch 0.7645, total 43.8850
(T) | Epoch=055, loss=7.5584, con=7.3086, intent=2.4335, rec=0.0073, ic_spnm=4.8941, ic_q=4, ic_pos=0.986, ic_neg=0.359, ic_frontier=0.16, ic_hop=1.16, ic_pos_std=0.001, ic_uniq=38.8, this epoch 0.7617, total 44.6468
(T) | Epoch=056, loss=7.6149, con=7.3640, intent=2.4314, rec=0.0071, ic_spnm=4.9856, ic_q=4, ic_pos=0.987, ic_neg=0.395, ic_frontier=0.37, ic_hop=1.37, ic_pos_std=0.002, ic_uniq=35.0, this epoch 0.7330, total 45.3798
(T) | Epoch=057, loss=7.7252, con=7.4736, intent=2.4303, rec=0.0091, ic_spnm=5.0691, ic_q=4, ic_pos=0.987, ic_neg=0.481, ic_frontier=0.15, ic_hop=1.15, ic_pos_std=0.001, ic_uniq=39.0, this epoch 0.7618, total 46.1416
(T) | Epoch=058, loss=7.7547, con=7.5035, intent=2.4276, rec=0.0081, ic_spnm=5.2431, ic_q=4, ic_pos=0.988, ic_neg=0.530, ic_frontier=0.18, ic_hop=1.18, ic_pos_std=0.001, ic_uniq=38.2, this epoch 0.7680, total 46.9096
(T) | Epoch=059, loss=7.7167, con=7.4675, intent=2.4252, rec=0.0088, ic_spnm=5.0283, ic_q=4, ic_pos=0.988, ic_neg=0.458, ic_frontier=0.16, ic_hop=1.16, ic_pos_std=0.001, ic_uniq=39.0, this epoch 0.7582, total 47.6678
(T) | Epoch=060, loss=7.7014, con=7.4534, intent=2.4230, rec=0.0072, ic_spnm=5.0776, ic_q=4, ic_pos=0.988, ic_neg=0.568, ic_frontier=0.24, ic_hop=1.24, ic_pos_std=0.001, ic_uniq=38.2, this epoch 0.7550, total 48.4228  alpha=[pap:0.677, psp:0.323]
(T) | Epoch=061, loss=7.7074, con=7.4594, intent=2.4219, rec=0.0112, ic_spnm=5.0139, ic_q=4, ic_pos=0.988, ic_neg=0.556, ic_frontier=0.26, ic_hop=1.26, ic_pos_std=0.001, ic_uniq=39.0, this epoch 0.7806, total 49.2034
(T) | Epoch=062, loss=7.6623, con=7.4139, intent=2.4220, rec=0.0101, ic_spnm=5.2409, ic_q=4, ic_pos=0.988, ic_neg=0.488, ic_frontier=0.49, ic_hop=1.49, ic_pos_std=0.002, ic_uniq=34.2, this epoch 0.7392, total 49.9426
(T) | Epoch=063, loss=7.5901, con=7.3416, intent=2.4227, rec=0.0102, ic_spnm=5.1505, ic_q=4, ic_pos=0.988, ic_neg=0.579, ic_frontier=0.23, ic_hop=1.23, ic_pos_std=0.001, ic_uniq=38.0, this epoch 0.7597, total 50.7023
(T) | Epoch=064, loss=7.5766, con=7.3275, intent=2.4240, rec=0.0103, ic_spnm=5.1007, ic_q=4, ic_pos=0.987, ic_neg=0.520, ic_frontier=0.14, ic_hop=1.14, ic_pos_std=0.001, ic_uniq=39.8, this epoch 0.7680, total 51.4703
(T) | Epoch=065, loss=7.5804, con=7.3310, intent=2.4253, rec=0.0120, ic_spnm=4.9732, ic_q=4, ic_pos=0.986, ic_neg=0.493, ic_frontier=0.18, ic_hop=1.18, ic_pos_std=0.001, ic_uniq=37.5, this epoch 0.7562, total 52.2265
(T) | Epoch=066, loss=7.5341, con=7.2845, intent=2.4251, rec=0.0096, ic_spnm=5.1531, ic_q=4, ic_pos=0.986, ic_neg=0.564, ic_frontier=0.25, ic_hop=1.25, ic_pos_std=0.001, ic_uniq=39.0, this epoch 0.7485, total 52.9749
