[log] 运行日志写入: log/run_ACM_20260805_121929.log
[config] cand_sources=embed num_cand_per_node=0 cand_label_mode=soft lambda_cand_bce=0.0 lambda_ic_spnm=0.005 ic_spnm_pos=40 ic_spnm_neg=128 ic_spnm_hard_pool=1024 cs_topk=(5, 10, 20, 50, 'oracle') cs_w_list=(0.18, 0.2, 0.22, 0.24, 0.26) greedy_patience=1 greedy_min_gain_tol=0.0001 frontier_batch_size=2 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop include_query_in_pred=False eval_perturb=none:0.0 seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 2080 Ti
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
/root/miniconda3/lib/python3.8/site-packages/scipy/sparse/_index.py:146: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
  [sparsify] pap.npz: 57853 -> 30852 edges (avg_deg 14 -> 8, top-k=10)
  [sparsify] psp.npz: 4338213 -> 75790 edges (avg_deg 1079 -> 19, top-k=10)
[data] 多关系 R=2: pap(30852 edges), psp(75790 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=1 icra_heads=1 icra_dim=64
[IC-SPNM] 全量图邻接表就绪, lambda=0.005, pos=40 neg=128 B=4 pool=1024 intent_beta=1.5 struct_beta=1.0 susp_alpha=0.0
(T) | Epoch=025, loss=7.4332, con=7.1681, intent=2.5065, rec=0.0120, ic_spnm=5.0496, ic_q=4, ic_pos=0.969, ic_neg=0.370, this epoch 0.6704, total 19.8163
(T) | Epoch=026, loss=7.4697, con=7.2044, intent=2.5001, rec=0.0113, ic_spnm=5.1037, ic_q=4, ic_pos=0.974, ic_neg=0.347, this epoch 0.6871, total 20.5034
(T) | Epoch=027, loss=7.4915, con=7.2257, intent=2.4953, rec=0.0125, ic_spnm=5.0498, ic_q=4, ic_pos=0.973, ic_neg=0.367, this epoch 0.6816, total 21.1850
(T) | Epoch=028, loss=7.4789, con=7.2126, intent=2.4891, rec=0.0116, ic_spnm=5.0618, ic_q=4, ic_pos=0.975, ic_neg=0.344, this epoch 0.6923, total 21.8773
(T) | Epoch=029, loss=7.4383, con=7.1721, intent=2.4847, rec=0.0112, ic_spnm=5.0244, ic_q=4, ic_pos=0.976, ic_neg=0.389, this epoch 0.6718, total 22.5491
(T) | Epoch=030, loss=7.4111, con=7.1462, intent=2.4761, rec=0.0115, ic_spnm=4.9465, ic_q=4, ic_pos=0.980, ic_neg=0.347, this epoch 0.6806, total 23.2297  alpha=[pap:0.764, psp:0.236]
(T) | Epoch=031, loss=7.4256, con=7.1600, intent=2.4717, rec=0.0109, ic_spnm=5.1374, ic_q=4, ic_pos=0.977, ic_neg=0.325, this epoch 0.6711, total 23.9008
(T) | Epoch=032, loss=7.4584, con=7.1922, intent=2.4714, rec=0.0108, ic_spnm=5.0947, ic_q=4, ic_pos=0.982, ic_neg=0.333, this epoch 0.6753, total 24.5761
(T) | Epoch=033, loss=7.5316, con=7.2647, intent=2.4719, rec=0.0107, ic_spnm=5.1094, ic_q=4, ic_pos=0.981, ic_neg=0.346, this epoch 0.6711, total 25.2472
(T) | Epoch=034, loss=7.5794, con=7.3129, intent=2.4698, rec=0.0109, ic_spnm=5.1551, ic_q=4, ic_pos=0.981, ic_neg=0.319, this epoch 0.6709, total 25.9181
(T) | Epoch=035, loss=7.5761, con=7.3115, intent=2.4666, rec=0.0109, ic_spnm=5.1105, ic_q=4, ic_pos=0.981, ic_neg=0.352, this epoch 0.6722, total 26.5902
(T) | Epoch=036, loss=7.5664, con=7.3039, intent=2.4627, rec=0.0096, ic_spnm=5.0824, ic_q=4, ic_pos=0.984, ic_neg=0.364, this epoch 0.6872, total 27.2774
(T) | Epoch=037, loss=7.5613, con=7.3001, intent=2.4594, rec=0.0085, ic_spnm=5.0641, ic_q=4, ic_pos=0.982, ic_neg=0.325, this epoch 0.6712, total 27.9486
(T) | Epoch=038, loss=7.5426, con=7.2819, intent=2.4561, rec=0.0080, ic_spnm=5.0721, ic_q=4, ic_pos=0.982, ic_neg=0.384, this epoch 0.6678, total 28.6164
(T) | Epoch=039, loss=7.5249, con=7.2655, intent=2.4540, rec=0.0070, ic_spnm=4.9204, ic_q=4, ic_pos=0.984, ic_neg=0.386, this epoch 0.6856, total 29.3020
(T) | Epoch=040, loss=7.5253, con=7.2648, intent=2.4531, rec=0.0067, ic_spnm=5.1770, ic_q=4, ic_pos=0.984, ic_neg=0.461, this epoch 0.6722, total 29.9742  alpha=[pap:0.633, psp:0.367]
(T) | Epoch=041, loss=7.5351, con=7.2761, intent=2.4541, rec=0.0073, ic_spnm=4.8764, ic_q=4, ic_pos=0.984, ic_neg=0.407, this epoch 0.7318, total 30.7059
